z_m_nap,depth_m,qc_mpa,qc_kPa,qt_kPa,sigma_v0_kPa,sigma_v0_eff_kPa,fs_kPa,Qt,Dr
-18.51,17.06,3.594,3594.0,3669.6,293.02799999999996,123.62800000000004,22.0,27.312356424111034,0.2793479981472727
-18.53,17.08,4.726,4726.0,4789.84,293.43564490861615,123.83564490861623,24.0,36.30945159941209,0.3220889477831156
-18.55,17.1,5.609,5609.0,5663.599999999999,293.84328981723235,124.0432898172324,27.0,43.28937678204651,0.3516872668479626
-18.57,17.12,6.162,6162.0,6217.86,294.2509347258485,124.2509347258486,29.0,47.674563401427925,0.36907050585192264
-18.59,17.14,6.559,6559.0,6618.64,294.6585796344647,124.45857963446478,31.0,50.811936299924746,0.3810209454307307
-18.61,17.16,6.895,6895.0,6957.16,295.06622454308086,124.66622454308096,35.0,53.439444403441414,0.3907481629732576
-18.63,17.18,7.207,7207.0,7270.84,295.47386945169706,124.87386945169715,37.0,55.859293550973575,0.39949716090882326
-18.65,17.2,7.548,7548.0,7613.1,295.8815143603132,125.08151436031332,40.0,58.49959942571132,0.4088296865993093
-18.67,17.22,7.937,7937.0,8002.9400000000005,296.2891592689295,125.28915926892955,47.0,61.510915115879804,0.4192200755684973
-18.69,17.24,8.446,8446.0,8511.939999999999,296.69680417754563,125.49680417754573,48.0,65.46177211174235,0.43247385424436713
-18.71,17.26,9.111,9111.0,9176.1,297.1044490861618,125.70444908616192,48.0,70.63390051395783,0.4492339527747138
-18.73,17.28,9.827,9827.0,9889.58,297.512093994778,125.9120939947781,54.0,76.18067178203732,0.46653945410264325
-18.75,17.3,10.483,10483.0,10523.74,297.9197389033942,126.11973890339428,59.0,81.08025238562713,0.4813084914677225
-18.77,17.32,10.918,10918.0,10944.88,298.32738381201034,126.32738381201047,63.0,84.27747250771276,0.49070640773630114
-18.79,17.34,11.278,11278.0,11312.02,298.73502872062653,126.53502872062666,67.0,87.03744000876875,0.4986766487665666
-18.81,17.36,11.66,11660.0,11702.42,299.1426736292427,126.74267362924283,71.0,89.97188555236319,0.5070133431672278
-18.83,17.38,12.197,12197.0,12247.400000000001,299.5503185378589,126.95031853785902,76.0,94.11437339481007,0.5185539602581947
-18.85,17.4,12.791,12791.0,12847.699999999999,299.95796344647516,127.15796344647524,82.0,98.67838156935613,0.530978561766201
-18.87,17.42,13.34,13340.0,13402.16,300.36560835509135,127.36560835509142,87.0,102.86759951020298,0.5421322967431552
-18.89,17.44,13.754,13754.0,13818.68,300.7732532637075,127.5732532637076,91.0,105.96191913984768,0.5502257176828113
-18.91,17.46,14.108,14108.0,14173.52,301.1808981723237,127.78089817232379,95.0,108.56348092904783,0.5569392912005704
-18.93,17.48,14.422,14422.0,14487.52,301.58854308093987,127.98854308093998,98.0,110.83751026017912,0.5627420374766479
-18.95,17.5,14.652,14652.0,14717.52,301.99618798955606,128.19618798955617,101.0,112.44892721135236,0.5668180035737154
-18.97,17.52,14.852,14852.0,14917.52,302.40383289817225,128.40383289817234,103.0,113.82149455532223,0.5702668411875825
-18.99,17.54,15.032,15032.0,15097.939999999999,302.8114778067884,128.6114778067885,105.0,115.03738837695151,0.5733046768565347
-19.01,17.56,15.264,15264.0,15329.94,303.21912271540464,128.81912271540475,107.0,116.64976876517446,0.5773084562127807
-19.03,17.58,15.521,15521.0,15586.94,303.62676762402083,129.02676762402092,109.0,118.45071773719832,0.5817479025370705
-19.05,17.6,15.803,15803.0,15868.94,304.034412532637,129.23441253263712,110.0,120.43932635617908,0.5866109110966609
-19.07,17.62,16.159,16158.999999999998,16224.94,304.4420574412532,129.4420574412533,112.0,122.99323927066128,0.5927978197151472
-19.09,17.64,16.543,16543.0,16608.94,304.8497023498694,129.64970234986947,115.0,125.75493813053512,0.5994162353741349
-19.11,17.66,16.952,16952.0,17018.36,305.25734725848554,129.85734725848567,118.0,128.70355821664438,0.6064028793199744
-19.13,17.68,17.285,17285.0,17351.36,305.66499216710173,130.06499216710185,119.0,131.05521112040148,0.6119178542451628
-19.15,17.7,17.341,17341.0,17407.36,306.0726370757179,130.27263707571802,121.0,131.27305738798046,0.6124262227006391
-19.17,17.72,17.273,17273.0,17339.36,306.48028198433417,130.48028198433425,121.0,130.5398751365411,0.6107135759246628
-19.19,17.74,17.43,17430.0,17496.36,306.88792689295036,130.68792689295043,113.0,131.5306813856444,0.613026872833587
-19.21,17.76,17.916,17916.0,17982.36,307.29557180156655,130.8955718015666,111.0,135.03179813441858,0.6211321417596342
-19.23,17.78,18.352,18352.0,18418.36,307.7032167101827,131.1032167101828,107.0,138.14044565607642,0.6282411858424993
-19.25,17.8,18.632,18632.0,18698.36,308.1108616187989,131.31086161879898,104.0,140.0512410905419,0.6325712632706564
-19.27,17.82,19.364,19364.0,19430.36,308.51850652741507,131.51850652741516,101.0,145.39278158155346,0.644521487132793
-19.29,17.84,19.803,19803.0,19870.2,308.92615143603126,131.72615143603136,100.0,148.49954724490138,0.651371185039466
-19.31,17.86,20.123,20123.0,20189.780000000002,309.33379634464745,131.93379634464753,100.0,150.6850159281564,0.6561467952658077
-19.33,17.88,20.381,20381.0,20447.36,309.7414412532636,132.1414412532637,100.0,152.39442197509229,0.6598580409561964
-19.35,17.9,20.595,20595.0,20660.94,310.14908616187984,132.34908616187994,102.0,153.76601005726997,0.6628208334885722
-19.37,17.92,20.882,20882.0,20947.52,310.556731070496,132.5567310704961,99.0,155.68400866761255,0.6669418665341349
-19.39,17.94,21.225,21225.0,21290.1,310.9643759791122,132.76437597911232,95.0,158.01780763328796,0.6719222056018261
-19.41,17.96,21.309,21309.0,21374.1,311.3720208877284,132.9720208877285,90.0,158.39969821091947,0.6727336518392051
-19.43,17.98,21.354,21354.0,21419.519999999997,311.7796657963446,133.17966579634466,90.0,158.49071408904967,0.6729268992119419
-19.45,18.0,21.634,21634.0,21700.36,312.18731070496074,133.38731070496087,98.0,160.3463820977956,0.6768548738684061
-19.47,18.02,21.898,21898.0,21965.2,312.59495561357693,133.59495561357704,102.0,162.0765166239997,0.6804967022571501
-19.49,18.04,22.158,22158.0,22226.04,313.0026005221931,133.80260052219322,104.0,163.77138646003516,0.6840455007005543
-19.51,18.06,22.418,22418.0,22486.04,313.41024543080937,134.01024543080945,104.0,165.45473581732298,0.6875520464815176
-19.53,18.08,22.993,22993.0,23060.199999999997,313.81789033942556,134.21789033942562,103.0,169.47354821430218,0.6958520947407927
-19.55,18.1,23.514,23514.0,23582.04,314.22553524804175,134.4255352480418,106.0,173.09073325851537,0.7032389012044106
-19.57,18.12,23.818,23818.0,23886.04,314.6331801566579,134.633180156658,112.0,175.07873462110794,0.7072658312546339
-19.59,18.14,23.991,23991.0,24058.620000000003,315.0408250652741,134.84082506527417,110.0,176.08598259051635,0.7092974040566308
-19.61,18.16,24.281,24281.0,24348.62,315.44846997389027,135.04846997389035,112.0,177.95959876237453,0.7130610047281559
-19.63,18.18,24.481,24481.0,24548.620000000003,315.85611488250646,135.25611488250655,118.0,179.1620578941504,0.7154659977827645
-19.65,18.2,24.529,24529.0,24596.620000000003,316.2637597911226,135.46375979112273,120.0,179.23875933790544,0.715619131218167
-19.67,18.22,24.559,24559.0,24626.2,316.6714046997389,135.67140469973896,124.0,179.17945678458088,0.7155007373153451
-19.69,18.24,24.614,24614.0,24680.78,317.07904960835504,135.87904960835513,130.0,179.30432263557378,0.7157500015180356
-19.71,18.26,24.742,24742.0,24809.2,317.4866945169712,136.0866945169713,134.0,179.97140273275343,0.7170801962178756
-19.73,18.28,24.988,24988.0,25055.620000000003,317.8943394255874,136.2943394255875,138.0,181.5022235320378,0.720123448805903
-19.75,18.3,25.257,25257.0,25324.620000000003,318.3019843342036,136.50198433420368,139.0,183.19380584564803,0.723471404994495
-19.77,18.32,25.384,25384.0,25451.62,318.70962924281974,136.70962924281986,140.0,183.84155168848272,0.7247493195945808
-19.79,18.34,25.454,25454.0,25521.62,319.11727415143594,136.91727415143606,142.0,184.07102304690622,0.7252014952449053
-19.81,18.36,25.425,25425.0,25492.62,319.5249190600521,137.12491906005224,143.0,183.57783000707326,0.724229304664272
-19.83,18.38,25.441,25441.0,25509.039999999997,319.9325639686683,137.3325639686684,145.0,183.41685837728969,0.7239117120148397
-19.85,18.4,25.452,25452.0,25520.04,320.34020887728457,137.54020887728464,144.0,183.21696612811058,0.7235171359963191
-19.87,18.42,25.432,25432.0,25499.62,320.74785378590076,137.74785378590082,144.0,182.7895785973493,0.7226727743934799
-19.89,18.44,25.309,25309.0,25376.620000000003,321.1554986945169,137.95549869451702,145.0,181.6199045228873,0.7203568649791123
-19.91,18.46,25.173,25173.0,25241.04,321.5631436031331,138.1631436031332,146.0,180.36269446775788,0.7178593066845299
-19.93,18.48,25.105,25105.0,25172.62,321.9707885117493,138.37078851174937,145.0,179.59462021406438,0.716329174560061
-19.95,18.5,24.927,24927.0,24995.04,322.37843342036547,138.57843342036557,144.0,178.0411349559514,0.7132243384917567
-19.97,18.52,24.67,24670.0,24738.04,322.78607832898166,138.78607832898174,143.0,175.92005059611623,0.7089631273831548
-19.99,18.54,24.428,24428.0,24496.04,323.1937232375978,138.99372323759792,142.0,173.91322222112854,0.7049077390920004
-20.01,18.56,24.12,24120.0,24188.460000000003,323.60136814621404,139.20136814621415,141.0,171.44126490758805,0.699880122199689
-20.03,18.58,23.646,23646.0,23714.460000000003,324.00901305483023,139.40901305483033,139.0,167.7829178644682,0.6923725625175019
-20.05,18.6,23.316,23316.0,23384.46,324.4166579634464,139.6166579634465,138.0,165.1668481283514,0.6869536231556816
-20.07,18.62,22.943,22943.0,23011.460000000003,324.8243028720626,139.8243028720627,137.0,162.2510195376114,0.6808629388768583
-20.09,18.64,22.53,22530.0,22598.88,325.23194778067875,140.03194778067888,134.0,159.06118857323045,0.6741368843051524
-20.11,18.66,22.209,22209.0,22277.88,325.63959268929494,140.23959268929505,131.0,156.53382890198876,0.6687596811624781
-20.13,18.68,21.859,21859.0,21928.3,326.04723759791113,140.44723759791125,128.0,153.81044961701232,0.6629166067290652
-20.15,18.7,21.467,21467.0,21536.3,326.4548825065273,140.65488250652743,128.0,150.79352198462914,0.6563829935653402
-20.17,18.72,21.067,21067.0,21136.3,326.8625274151436,140.86252741514366,126.0,147.72869587421377,0.6496783728984976
-20.19,18.74,20.657,20657.0,20726.72,327.27017232375977,141.07017232375983,124.0,144.6049826951296,0.6427729719073881
-20.21,18.76,20.335,20335.0,20405.14,327.6778172323759,141.277817232376,122.0,142.11333793290345,0.6372111960564756
-20.23,18.78,20.121,20121.0,20190.719999999998,328.0854621409921,141.4854621409922,121.0,140.3863989790387,0.6333277169704226
-20.25,18.8,19.958,19958.0,20027.719999999998,328.4931070496083,141.6931070496084,120.0,139.02741850422873,0.6302548656903553
-20.27,18.82,19.741,19741.0,19811.140000000003,328.9007519582245,141.90075195822456,119.0,137.29482740005022,0.6263153641965962
-20.29,18.84,19.523,19523.0,19593.14,329.30839686684067,142.10839686684076,115.0,135.5573071532421,0.6223396113589477
-20.31,18.86,19.282,19282.0,19352.14,329.7160417754568,142.31604177545694,114.0,133.6632449927022,0.617976525196091
-20.33,18.88,19.077,19077.0,19147.559999999998,330.123686684073,142.5236866840731,114.0,132.03023827911375,0.6141899154382455
-20.35,18.9,18.808,18808.0,18878.56,330.53133159268924,142.73133159268934,113.0,129.9506454640078,0.6093337004208726
-20.37,18.92,18.479,18479.0,18549.56,330.93897650130543,142.93897650130552,108.0,127.45733507705856,0.6034598698388167
-20.39,18.94,18.163,18163.0,18233.56,331.3466214099216,143.1466214099217,102.0,125.06207413253871,0.5977626718081797
-20.41,18.96,17.876,17876.0,17946.56,331.7542663185378,143.3542663185379,96.0,122.87604817104491,0.5925153359583553
-20.43,18.98,17.575,17575.0,17645.56,332.16191122715395,143.56191122715407,100.0,120.59882695054354,0.5869992137997742
-20.45,19.0,17.086,17086.0,17156.979999999996,332.56955613577014,143.76955613577024,104.0,117.02345681568302,0.5782324219196762
-20.47,19.02,16.384,16384.0,16454.98,332.97720104438633,143.97720104438645,107.0,111.97608150463623,0.5656250184016066
-20.49,19.04,15.681,15681.0,15752.4,333.3848459530025,144.18484595300262,108.0,106.93922133171236,0.5527572997042381
-20.51,19.06,15.285,15285.0,15356.400000000001,333.7924908616188,144.39249086161885,107.0,104.0400883695231,0.5452131650478504
-20.53,19.08,15.006,15006.0,15077.400000000001,334.20013577023497,144.60013577023503,107.0,101.95840955264549,0.5397311752891314
-20.55,19.1,14.834,14834.0,14905.82,334.6077806788511,144.8077806788512,109.0,100.6245116872317,0.536188963725161
-20.57,19.12,14.706,14706.0,14777.82,335.0154255874673,145.0154255874674,106.0,99.59495354307131,0.5334388532184929
-20.59,19.14,14.55,14550.0,14621.82,335.4230704960835,145.22307049608358,104.0,98.375532762814,0.5301631359788204
-20.61,19.16,14.402,14402.0,14473.82,335.8307154046997,145.43071540469975,103.0,97.2146031548602,0.5270256246273859
-20.63,19.18,14.276,14276.0,14347.82,336.23836031331587,145.63836031331596,101.0,96.20804305639783,0.524290113408864
-20.65,19.2,14.133,14133.0,14204.82,336.646005221932,145.84600522193213,100.0,95.08778779147933,0.521228734520595
-20.67,19.22,13.983,13983.0,14055.24,337.05365013054825,146.05365013054836,98.0,93.92566592897616,0.5180338266091902
-20.69,19.24,13.825,13825.0,13897.24,337.46129503916444,146.26129503916454,97.0,92.70927555598301,0.5146684801361608
-20.71,19.26,13.706,13706.0,13778.24,337.86893994778063,146.4689399477807,96.0,91.76260212468252,0.5120340449749202
-20.73,19.28,13.657,13657.0,13729.660000000002,338.2765848563968,146.67658485639691,97.0,91.29871293536307,0.5107381575030485
-20.75,19.3,13.636,13636.0,13708.66,338.684229765013,146.8842297650131,96.0,91.02390223664183,0.5099689128806686
-20.77,19.32,13.611,13611.0,13683.66,339.09187467362915,147.09187467362926,96.0,90.72267353268558,0.5091243842763926
-20.79,19.34,13.598,13598.0,13670.660000000002,339.49951958224534,147.29951958224547,95.0,90.50376076056537,0.5085097576267493
-20.81,19.36,13.572,13572.0,13645.079999999998,339.90716449086153,147.50716449086164,94.0,90.20018031960352,0.507656183763335
-20.83,19.38,13.584,13584.0,13657.08,340.3148093994777,147.71480939947782,94.0,90.1518625298216,0.5075201967264008
-20.85,19.4,13.643,13643.0,13716.08,340.722454308094,147.92245430809405,95.0,90.42141443809204,0.5082783670338024
-20.87,19.42,13.716,13716.0,13789.079999999998,341.13009921671016,148.13009921671022,95.0,90.78472215906174,0.5092984591125935
-20.89,19.44,13.728,13728.0,13801.08,341.5377441253263,148.33774412532642,95.0,90.7357890281996,0.509161184212958
-20.91,19.46,13.717,13717.0,13790.5,341.9453890339425,148.5453890339426,95.0,90.53498528919712,0.5085974700493143
-20.93,19.48,13.682,13682.0,13755.5,342.3530339425587,148.75303394255877,95.0,90.17057743667232,0.507572872844516
-20.95,19.5,13.68,13680.0,13753.5,342.7606788511749,148.96067885117495,95.0,90.02872049574475,0.5071734572137306
-20.97,19.52,13.702,13702.0,13775.92,343.16832375979106,149.16832375979115,95.0,90.05096616806694,0.5072361134283575
-20.99,19.54,13.721,13721.0,13794.92,343.5759686684072,149.37596866840732,96.0,90.05025474473473,0.5072341097834544
-21.01,19.56,13.755,13755.0,13828.92,343.98361357702345,149.58361357702356,96.0,90.14982366019201,0.5075144576693414
-21.03,19.58,13.815,13815.0,13888.92,344.39125848563964,149.79125848563973,97.0,90.42269140700795,0.5082819560806439
-21.05,19.6,13.877,13877.0,13950.92,344.79890339425583,149.9989033942559,97.0,90.70813711779962,0.5090835943642813
-21.07,19.62,13.939,13939.0,14012.92,345.206548302872,150.2065483028721,96.0,90.99279363066081,0.5098817611695055
-21.09,19.64,14.017,14017.0,14090.92,345.6141932114882,150.41419321148828,96.0,91.38303715435997,0.5109739639840761
-21.11,19.66,14.1,14100.0,14174.34,346.02183812010435,150.62183812010446,97.0,91.80818886869062,0.512161215881681
-21.13,19.68,14.162,14162.0,14236.34,346.42948302872054,150.82948302872066,98.0,92.09015530687982,0.5129471019980794
-21.15,19.7,14.149,14149.0,14223.34,346.83712793733673,151.03712793733683,98.0,91.8747798079147,0.5123469243391203
-21.17,19.72,14.137,14137.0,14211.76,347.244772845953,151.24477284595304,99.0,91.66938444395322,0.5117739022094849
-21.19,19.74,14.226,14226.0,14300.76,347.65241775456917,151.45241775456924,100.0,92.12865525102833,0.5130543141701981
-21.21,19.76,14.386,14386.0,14460.76,348.06006266318536,151.6600626631854,101.0,93.05482069250516,0.5156267218291741
-21.23,19.78,14.593,14593.0,14667.76,348.4677075718015,151.8677075718016,101.0,94.28793336896968,0.5190318827778437
-21.25,19.8,14.699,14699.0,14773.76,348.8753524804177,152.0753524804178,101.0,94.85353420027104,0.5205863018895716
-21.27,19.82,14.773,14773.0,14848.179999999998,349.2829973890339,152.28299738903397,102.0,95.21021552767941,0.5215641736372824
-21.29,19.84,14.986,14986.0,15061.18,349.6906422976501,152.49064229765014,102.0,96.47470255247953,0.5250161971718574
-21.31,19.86,15.29,15290.0,15365.18,350.0982872062662,152.69828720626634,100.0,98.33169701839034,0.5300450035297282
-21.33,19.88,15.65,15650.0,15725.18,350.5059321148824,152.90593211488252,100.0,100.54988616356424,0.5359901016238592
-21.35,19.9,16.171,16171.0,16246.6,350.91357702349865,153.11357702349875,98.0,103.81630899091952,0.5446265010889035
-21.37,19.92,16.82,16820.0,16895.600000000002,351.32122193211484,153.32122193211492,96.0,107.90599350553764,0.5552502486152081
-21.39,19.94,17.364,17364.0,17439.600000000002,351.72886684073103,153.5288668407311,94.0,111.30070510379011,0.563916673438778
-21.41,19.96,17.772,17772.0,17847.6,352.1365117493472,153.7365117493473,93.0,113.80161608437776,0.5702170415962624
-21.43,19.98,18.174,18174.0,18250.02,352.54415665796336,153.94415665796348,100.0,116.25953353401417,0.576341995529971
-21.45,20.0,18.68,18680.0,18756.02,352.95180156657955,154.15180156657965,106.0,119.38276433626343,0.5840322015003317
-21.47,20.02,19.187,19187.0,19263.02,353.35944647519574,154.35944647519585,111.0,122.50407076034323,0.5916178080009405
-21.49,20.04,19.693,19693.0,19769.02,353.76709138381193,154.56709138381203,115.0,125.61052119694327,0.5990719517886294
-21.51,20.06,20.266,20266.0,20342.02,354.1747362924282,154.77473629242826,117.0,129.14152362658814,0.6074337674102847
