selected_layer_name,selected_layer_top_z_m_nap,selected_layer_bottom_z_m_nap,selected_layer_gamma_kN_m3,z_m_nap,depth_m,qc_mpa,qc_kPa,qt_kPa,sigma_v0_kPa,sigma_v0_eff_kPa,fs_kPa,Qt,Dr
Sand 1,-2.04,-4.46,19.7,-2.04,0.56,5.5,5500.0,5501.26,8.868,4.068,41.0,1350.1455260570306,1.155404254302814
Sand 1,-2.04,-4.46,19.7,-2.06,0.58,5.585,5585.0,5586.26,9.262,4.262,43.0,1308.540122008447,1.151135980345626
Sand 1,-2.04,-4.46,19.7,-2.08,0.6,5.644,5644.0,5644.84,9.656,4.4559999999999995,44.0,1264.628366247756,1.1453378345147949
Sand 1,-2.04,-4.46,19.7,-2.1,0.62,5.733,5733.0,5733.84,10.05,4.65,44.0,1230.9225806451611,1.1421043389130616
Sand 1,-2.04,-4.46,19.7,-2.12,0.64,5.897,5897.0,5898.26,10.444000000000003,4.844,44.0,1215.4863748967794,1.14447957117105
Sand 1,-2.04,-4.46,19.7,-2.14,0.66,6.248,6248.0,6249.26,10.838000000000003,5.038,44.0,1238.2735212385867,1.1595086466014453
Sand 1,-2.04,-4.46,19.7,-2.16,0.68,6.714,6714.0,6715.26,11.232000000000003,5.232000000000001,44.0,1281.3509174311923,1.1807335619943893
Sand 1,-2.04,-4.46,19.7,-2.18,0.7,7.289,7289.0,7290.26,11.626000000000003,5.426000000000001,44.0,1341.4364172502762,1.2065205884662646
Sand 1,-2.04,-4.46,19.7,-2.2,0.72,7.791,7791.0,7792.26,12.020000000000003,5.620000000000001,45.0,1384.3843416370105,1.226139535201025
Sand 1,-2.04,-4.46,19.7,-2.22,0.74,8.46,8460.0,8461.26,12.414000000000003,5.814000000000001,46.0,1453.189886480908,1.252577097957172
Sand 1,-2.04,-4.46,19.7,-2.24,0.76,9.358,9358.0,9359.26,12.808000000000003,6.008000000000001,47.0,1555.6677762982686,1.2869462710057447
Sand 1,-2.04,-4.46,19.7,-2.26,0.78,10.893,10893.0,10894.259999999998,13.201999999999995,6.201999999999996,50.0,1754.4434053531127,1.3427179889465128
Sand 1,-2.04,-4.46,19.7,-2.28,0.8,12.109,12109.0,12110.26,13.595999999999997,6.395999999999997,56.0,1891.285803627268,1.3796010017309621
Sand 1,-2.04,-4.46,19.7,-2.3,0.82,13.083,13083.0,13084.26,13.989999999999995,6.589999999999997,61.0,1983.349013657057,1.404883323435535
Sand 1,-2.04,-4.46,19.7,-2.32,0.84,13.956,13956.0,13957.26,14.383999999999997,6.783999999999997,67.0,2055.2588443396235,1.4250652293730603
Sand 1,-2.04,-4.46,19.7,-2.34,0.86,14.653,14653.0,14654.26,14.777999999999997,6.977999999999998,71.0,2097.9481226712533,1.4388528123523636
Sand 1,-2.04,-4.46,19.7,-2.36,0.88,15.189,15189.0,15190.26,15.171999999999997,7.171999999999998,75.0,2115.879531511434,1.447501846319968
Sand 1,-2.04,-4.46,19.7,-2.38,0.9,15.696,15696.0,15697.26,15.565999999999997,7.365999999999998,78.0,2128.9294053760527,1.45503494877355
Sand 1,-2.04,-4.46,19.7,-2.4,0.92,16.223,16222.999999999998,16224.259999999997,15.959999999999997,7.559999999999999,81.0,2143.9550264550267,1.4628051068285468
Sand 1,-2.04,-4.46,19.7,-2.42,0.94,16.606,16606.0,16607.26,16.354,7.753999999999998,81.0,2139.6577250451387,1.466704849745586
Sand 1,-2.04,-4.46,19.7,-2.44,0.96,17.144,17144.0,17144.84,16.747999999999998,7.947999999999999,80.0,2155.0191243080026,1.4742952503011788
Sand 1,-2.04,-4.46,19.7,-2.46,0.98,17.395,17395.0,17395.42,17.142,8.142,79.0,2134.3991648243673,1.4748226409515772
Sand 1,-2.04,-4.46,19.7,-2.48,1.0,17.504,17504.0,17504.84,17.536,8.335999999999999,78.0,2097.805182341651,1.4720406568951632
Sand 1,-2.04,-4.46,19.7,-2.5,1.02,17.285,17285.0,17285.84,17.93,8.53,83.0,2024.3739742086755,1.4615661403238354
Sand 1,-2.04,-4.46,19.7,-2.52,1.04,17.032,17032.0,17032.84,18.323999999999998,8.724,84.0,1950.3113250802382,1.450315595285621
