z_m_nap,depth_m,qc_mpa,qc_kPa,qt_kPa,sigma_v0_kPa,sigma_v0_eff_kPa,fs_kPa,Qt,Dr
-18.41,17.04,4.65,4650.0,4741.56,286.812,117.812,20.0,37.81234509218077,0.32868719429260557
-18.43,17.06,5.809,5809.0,5869.06,287.222,118.02199999999999,24.0,47.294894172272976,0.36759797206137723
-18.45,17.08,6.29,6290.0,6351.740000000001,287.632,118.23199999999999,28.0,51.28990459435688,0.3828088094013843
-18.47,17.1,6.648,6648.0,6710.16,288.042,118.44199999999998,32.0,54.22162746323095,0.3935974283569842
-18.49,17.12,7.006,7006.0,7068.58,288.452,118.65199999999999,38.0,57.142972726966256,0.4040614264722144
-18.51,17.14,7.365,7365.0,7428.0,288.862,118.86200000000001,39.0,60.06240850734465,0.41425460944877385
-18.53,17.16,7.723,7723.0,7786.42,289.27200000000005,119.072,41.0,62.96314834721849,0.42413996459126724
-18.55,17.18,8.081,8080.999999999999,8144.84,289.682,119.28200000000001,46.0,65.8536744856726,0.43376647596759976
-18.57,17.2,8.416,8416.0,8480.260000000002,290.09200000000004,119.492,50.0,68.54155926756604,0.4425302548739014
-18.59,17.22,8.751,8751.0,8815.26,290.502,119.702,53.0,71.216504319059,0.4510828378755756
-18.61,17.24,9.1,9100.0,9163.84,290.912,119.91199999999999,57.0,73.99532990859964,0.45979911734396
-18.630000000000003,17.26,9.485,9485.0,9548.84,291.32200000000006,120.12200000000003,62.0,77.06763124157105,0.469247516902087
-18.65,17.28,9.916,9916.0,9979.84,291.73199999999997,120.33199999999998,66.0,80.51148489179937,0.4796173620466315
-18.67,17.3,10.359,10359.0,10422.84,292.14200000000005,120.54200000000002,70.0,84.04288961523784,0.4900230012538416
-18.69,17.32,10.839,10839.0,10903.26,292.552,120.75200000000001,72.0,87.87190274281171,0.5010614525835891
-18.71,17.34,11.314,11314.0,11378.259999999998,292.96200000000005,120.962,74.0,91.64281344554487,0.511699726250087
-18.73,17.36,11.84,11840.0,11904.26,293.372,121.172,76.0,95.82154293071008,0.5232359285684479
-18.75,17.38,12.281,12281.0,12345.26,293.782,121.38199999999999,80.0,99.28554480895028,0.5326095992079277
-18.77,17.4,12.868,12868.0,12932.26,294.192,121.59199999999998,86.0,103.93831831041517,0.544946441170179
-18.790000000000003,17.42,13.443,13443.0,13507.26,294.6020000000001,121.80200000000002,91.0,108.4765274790233,0.5567162074651252
-18.81,17.44,14.004,14004.0,14068.26,295.012,122.01199999999999,96.0,112.88437202898076,0.5679144101232679
-18.83,17.46,14.503,14503.0,14567.259999999998,295.42199999999997,122.22199999999998,99.0,116.76979594508354,0.5776053916079077
-18.85,17.48,14.978,14978.0,15042.68,295.83200000000005,122.43200000000002,102.0,120.44929430214322,0.5866351854971421
-18.87,17.5,15.463,15463.0,15527.679999999998,296.242,122.64200000000001,104.0,124.19430537662463,0.5956852125952447
-18.89,17.52,15.978,15978.0,16042.68,296.65200000000004,122.852,105.0,128.17070947155926,0.6051462856711572
-18.91,17.54,16.484,16484.0,16548.68,297.062,123.062,105.0,132.06040857453968,0.6142600858513545
-18.93,17.56,17.012,17012.0,17076.68,297.472,123.27199999999999,107.0,136.11532221429036,0.6236192112276996
-18.95,17.58,17.619,17619.0,17684.100000000002,297.882,123.48199999999999,110.0,140.7996145187153,0.6342591055007528
-18.97,17.6,18.383,18383.0,18448.1,298.292,123.69199999999998,113.0,146.73388739772986,0.6474872031779687
-18.99,17.62,19.12,19120.0,19185.1,298.702,123.90199999999999,115.0,152.4301302642411,0.6599353437253014
-19.01,17.64,19.875,19875.0,19940.52,299.112,124.11200000000001,118.0,158.25551115121823,0.6724273962958343
-19.03,17.66,20.622,20622.0,20687.52,299.52200000000005,124.322,122.0,163.99348466080016,0.6845091769410925
-19.05,17.68,21.506,21506.0,21571.52,299.932,124.53200000000001,126.0,170.81222497028875,0.6985949674071087
-19.07,17.7,22.427,22427.0,22492.52,300.34200000000004,124.742,129.0,177.90461913389234,0.7129508481032343
-19.09,17.72,23.177,23177.0,23242.940000000002,300.752,124.952,133.0,183.60800947563865,0.7242888324332628
-19.11,17.74,23.834,23834.0,23899.940000000002,301.162,125.16199999999999,139.0,188.54586855435358,0.7339635424078415
-19.130000000000003,17.76,24.446,24446.0,24511.940000000002,301.57200000000006,125.37200000000003,144.0,193.1082538365823,0.7427905950565885
-19.15,17.78,25.036,25036.0,25102.780000000002,301.98199999999997,125.58199999999998,149.0,197.48688506314605,0.7511645911766343
-19.17,17.8,25.556,25556.0,25622.78,302.39200000000005,125.79200000000002,152.0,201.287744848639,0.7583586502603388
-19.19,17.82,26.069,26069.0,26136.62,302.802,126.00200000000001,155.0,205.0270471897271,0.7653702132949912
-19.21,17.84,26.708,26708.0,26774.36,303.21200000000005,126.212,157.0,209.73558774126073,0.7741088659895339
-19.23,17.86,27.184,27184.0,27249.94,303.622,126.422,158.0,213.14579740867887,0.78037682730603
-19.25,17.88,27.492,27492.0,27558.36,304.03200000000004,126.63199999999999,157.0,215.22465095710407,0.784173178681313
-19.27,17.9,27.653,27653.0,27719.36,304.442,126.84199999999998,157.0,216.1343876633923,0.7858287484531261
-19.290000000000003,17.92,27.72,27720.0,27787.199999999997,304.8520000000001,127.05200000000002,158.0,216.3078739413783,0.7861440688419437
-19.31,17.94,27.709,27709.0,27776.2,305.262,127.26199999999999,140.0,215.8612783077431,0.7853321013753956
-19.33,17.96,27.663,27663.0,27730.2,305.67199999999997,127.47199999999998,121.0,215.1415840341409,0.7840218364928017
-19.35,17.98,27.539,27539.0,27606.620000000003,306.08200000000005,127.68200000000002,115.0,213.81665387446938,0.7816039440507109
-19.37,18.0,27.349,27349.0,27416.620000000003,306.492,127.89200000000001,127.0,211.97673036624653,0.7782337701786133
-19.39,18.02,26.879,26879.0,26945.36,306.90200000000004,128.102,135.0,207.9472451640099,0.7708015219126682
-19.41,18.04,26.256,26256.0,26321.100000000002,307.312,128.312,140.0,202.73854355009664,0.76108671094147
-19.43,18.06,25.637,25637.0,25702.52,307.722,128.522,142.0,197.59105834020636,0.7513626827118965
-19.45,18.08,25.86,25860.0,25927.2,308.132,128.732,141.0,199.010875306839,0.7540573591423154
-19.47,18.1,25.972,25972.0,26040.04,308.542,128.94199999999998,146.0,199.55870081121748,0.7550945083918161
