layer_id,top_elevation_m_nap,bottom_elevation_m_nap,soil_type
Clay & silt 1,-1.5699999999999998,-1.7499999999999998,Clay & silt
Sand mixtures 1,-1.7499999999999998,-2.3299999999999996,Sand mixtures
Sand mixtures 2,-2.3299999999999996,-2.71,Sand mixtures
Sand 1,-2.71,-4.55,Sand
Organic clay 1,-4.55,-6.129999999999999,Organic clay
Peat 1,-6.129999999999999,-7.57,Peat
Clay & silt 2,-7.57,-8.81,Clay & silt
Peat 2,-8.81,-9.53,Peat
Clay & silt 3,-9.53,-10.95,Clay & silt
Sand mixtures 3,-10.95,-11.45,Sand mixtures
Sand mixtures 4,-11.45,-12.67,Sand mixtures
Silty clay / clayey silt 1,-12.67,-14.049999999999999,Silty clay / clayey silt
Sand mixtures 5,-14.049999999999999,-14.77,Sand mixtures
Silty clay / clayey silt 2,-14.77,-15.729999999999999,Silty clay / clayey silt
Clay & silt 4,-15.729999999999999,-17.71,Clay & silt
Clay & silt 5,-17.71,-18.15,Clay & silt
Silty clay / clayey silt 3,-18.15,-18.509999999999998,Silty clay / clayey silt
Sand 2,-18.509999999999998,-22.41,Sand
Sand 3,-22.41,-23.41,Sand
Sand 4,-23.41,-25.189999999999998,Sand
Sand mixtures 6,-25.189999999999998,-25.669999999999998,Sand mixtures
Sand 5,-25.669999999999998,-28.169999999999998,Sand
Sand mixtures 7,-28.169999999999998,-28.47,Sand mixtures
Sand 6,-28.47,-33.910000000000004,Sand
Sand 7,-33.910000000000004,-34.910000000000004,Sand
Sand 8,-34.910000000000004,-36.35,Sand
Silty clay / clayey silt 4,-36.35,-37.730000000000004,Silty clay / clayey silt
Sand 9,-37.730000000000004,-39.71,Sand
Sand 10,-39.71,-40.17,Sand
Sand mixtures 8,-40.17,-40.510000000000005,Sand mixtures
Sand mixtures 9,-40.510000000000005,-41.17,Sand mixtures
Silty clay / clayey silt 5,-41.17,-41.63,Silty clay / clayey silt
