elevation_m_nap,depth_m,qc_mpa,fs_mpa,rf_percent,u2_mpa,inclination_x_deg,inclination_y_deg,corrected_depth,col_9,qt_mpa,qt_over_pa,Isbt,Bqt,peat_boundary_qt_over_pa,organic_clay_boundary_qt_over_pa,soil_type,used_organic_boundary_qt_over_pa,distance_to_used_organic_boundary,layer_id,soil_layer_number,layer_top_depth_m,layer_bottom_depth_m,layer_top_elevation_m_nap,layer_bottom_elevation_m_nap
-1.5699999999999998,0.12,0.259,0.005,1.86,0.001,-0.028,-0.058,0.12,543.3,0.25942,2.5941999999999994,3.3996711155731183,0.0038547529103384478,,,Clay & silt,,,Clay & silt 1,1,0.12,0.3,-1.5699999999999998,-1.7499999999999998
-1.5899999999999999,0.14,0.263,0.005,1.956,0.001,-0.014,-0.116,0.14,544.2,0.26342,2.6341999999999994,3.403348186116866,0.003036975172727963,,,Clay & silt,,,Clay & silt 1,1,0.12,0.3,-1.5699999999999998,-1.7499999999999998
-1.6099999999999999,0.16,0.289,0.007,2.374,0.001,-0.056,-0.105,0.16,545.9,0.28941999999999996,2.8941999999999997,3.405357432230888,0.002073111740722824,,,Clay & silt,,,Clay & silt 1,1,0.12,0.3,-1.5699999999999998,-1.7499999999999998
-1.63,0.18,0.293,0.008,3.033,0.001,-0.05,-0.126,0.18,556.1,0.29341999999999996,2.9341999999999997,3.4512950795279562,0.0013632335900756578,,8.733812411607595,Organic clay,8.733812411607595,-5.799612411607595,Clay & silt 1,1,0.12,0.3,-1.5699999999999998,-1.7499999999999998
-1.65,0.2,0.298,0.009,3.251,0.001,-0.045,-0.144,0.2,566.0,0.29841999999999996,2.9841999999999995,3.459904411293135,0.0006701963675356857,,9.419112076599234,Organic clay,9.419112076599234,-6.434912076599234,Clay & silt 1,1,0.12,0.3,-1.5699999999999998,-1.7499999999999998
-1.67,0.22,0.296,0.009,2.554,0.001,-0.042,-0.094,0.22,566.8,0.29641999999999996,2.9641999999999995,3.411217737892076,-2.996351189866154e-18,,,Clay & silt,,,Clay & silt 1,1,0.12,0.3,-1.5699999999999998,-1.7499999999999998
-1.69,0.24,0.294,0.009,1.728,0.0,-0.016,-0.069,0.24,567.6,0.294,2.94,3.336817720140453,-0.004081632653061228,,,Clay & silt,,,Clay & silt 1,1,0.12,0.3,-1.5699999999999998,-1.7499999999999998
-1.71,0.26,0.343,0.009,1.366,0.003,-0.025,-0.068,0.26,568.4,0.34426,3.4426,3.2311609406456396,0.0046476500319525904,,,Clay & silt,,,Clay & silt 1,1,0.12,0.3,-1.5699999999999998,-1.7499999999999998
-1.73,0.28,0.722,0.01,1.123,0.002,0.009,-0.058,0.28,569.1,0.7228399999999999,7.228399999999999,2.9036124874723246,0.0005533728072602493,,,Silty clay / clayey silt,,,Clay & silt 1,1,0.12,0.3,-1.5699999999999998,-1.7499999999999998
-1.75,0.3,1.339,0.013,1.157,0.0,0.007,-0.049,0.3,569.9,1.339,13.39,2.671632791845944,-0.0013442867811799862,,,Silty clay / clayey silt,,,Sand mixtures 1,1,0.3,0.88,-1.7499999999999998,-2.3299999999999996
