top_elevation_m_nap,bottom_elevation_m_nap,top_depth_m,bottom_depth_m,soil_type,thickness_m,soil_layer_number,layer_id
-1.5699999999999998,-1.7499999999999998,0.12,0.3,Clay & silt,0.18,1,Clay & silt 1
-1.7499999999999998,-2.3299999999999996,0.3,0.88,Sand mixtures,0.5800000000000001,1,Sand mixtures 1
-2.3299999999999996,-2.71,0.88,1.26,Sand mixtures,0.38,2,Sand mixtures 2
-2.71,-4.55,1.26,3.1,Sand,1.84,1,Sand 1
-4.55,-6.129999999999999,3.1,4.68,Organic clay,1.5799999999999996,1,Organic clay 1
-6.129999999999999,-7.57,4.68,6.12,Peat,1.4400000000000004,1,Peat 1
-7.57,-8.81,6.12,7.36,Clay & silt,1.2400000000000002,2,Clay & silt 2
-8.81,-9.53,7.36,8.08,Peat,0.7199999999999998,2,Peat 2
-9.53,-10.95,8.08,9.5,Clay & silt,1.42,3,Clay & silt 3
-10.95,-11.45,9.5,10.0,Sand mixtures,0.5,3,Sand mixtures 3
-11.45,-12.67,10.0,11.22,Sand mixtures,1.2200000000000006,4,Sand mixtures 4
-12.67,-14.049999999999999,11.22,12.6,Silty clay / clayey silt,1.379999999999999,1,Silty clay / clayey silt 1
-14.049999999999999,-14.77,12.6,13.32,Sand mixtures,0.7200000000000006,5,Sand mixtures 5
-14.77,-15.729999999999999,13.32,14.28,Silty clay / clayey silt,0.9599999999999991,2,Silty clay / clayey silt 2
-15.729999999999999,-17.71,14.28,16.26,Clay & silt,1.9800000000000022,4,Clay & silt 4
-17.71,-18.15,16.26,16.7,Clay & silt,0.4399999999999977,5,Clay & silt 5
-18.15,-18.509999999999998,16.7,17.06,Silty clay / clayey silt,0.35999999999999943,3,Silty clay / clayey silt 3
-18.509999999999998,-22.41,17.06,20.96,Sand,3.900000000000002,2,Sand 2
-22.41,-23.41,20.96,21.96,Sand,1.0,3,Sand 3
-23.41,-25.189999999999998,21.96,23.74,Sand,1.7799999999999976,4,Sand 4
-25.189999999999998,-25.669999999999998,23.74,24.22,Sand mixtures,0.4800000000000004,6,Sand mixtures 6
-25.669999999999998,-28.169999999999998,24.22,26.72,Sand,2.5,5,Sand 5
-28.169999999999998,-28.47,26.72,27.02,Sand mixtures,0.3000000000000007,7,Sand mixtures 7
-28.47,-33.910000000000004,27.02,32.46,Sand,5.440000000000001,6,Sand 6
-33.910000000000004,-34.910000000000004,32.46,33.46,Sand,1.0,7,Sand 7
-34.910000000000004,-36.35,33.46,34.9,Sand,1.4399999999999977,8,Sand 8
-36.35,-37.730000000000004,34.9,36.28,Silty clay / clayey silt,1.3800000000000026,4,Silty clay / clayey silt 4
-37.730000000000004,-39.71,36.28,38.26,Sand,1.9799999999999969,9,Sand 9
-39.71,-40.17,38.26,38.72,Sand,0.46000000000000085,10,Sand 10
-40.17,-40.510000000000005,38.72,39.06,Sand mixtures,0.3400000000000034,8,Sand mixtures 8
-40.510000000000005,-41.17,39.06,39.72,Sand mixtures,0.6599999999999966,9,Sand mixtures 9
-41.17,-41.63,39.72,40.18,Silty clay / clayey silt,0.46000000000000085,5,Silty clay / clayey silt 5
