index,soil_id,top_elevation_m_nap,bottom_elevation_m_nap,qc_mpa_mean,gamma_unsat_kn_m3,gamma_sat_kn_m3,E100_mpa,c_prime_kpa,phi_prime_deg,dilatancy_deg,interpolation_status
1,Clay & silt 1,-1.57,-1.75,0.34,15.0,15.0,1.5,0.0,22.5,0.0,below_range_clipped
2,Sand mixtures 1 + Sand mixtures 2,-1.75,-2.71,4.0,18.5,20.5,22.5,0.0,27.5,0.0,below_range_clipped
3,Sand 1,-2.71,-4.55,7.58,17.3,19.3,22.75,0.0,30.6,0.6,interpolated
4,Organic clay 1,-4.55,-6.13,0.48,15.3,15.3,1.42,0.5,15.0,0.0,interpolated
5,Peat 1,-6.13,-7.57,0.56,12.5,12.5,0.75,3.75,15.0,0.0,above_range_clipped
6,Clay & silt 2,-7.57,-8.81,0.51,15.0,15.0,1.5,0.0,22.5,0.0,below_range_clipped
7,Peat 2,-8.81,-9.53,0.61,12.5,12.5,0.75,3.75,15.0,0.0,above_range_clipped
8,Clay & silt 3,-9.53,-10.95,0.64,15.0,15.0,1.5,0.0,22.5,0.0,below_range_clipped
9,Sand mixtures 3 + Sand mixtures 4,-10.95,-12.67,3.0,18.5,20.5,22.5,0.0,27.5,0.0,below_range_clipped
10,Silty clay / clayey silt 1,-12.67,-14.05,2.92,21.4,21.4,5.77,2.98,31.2,0.0,interpolated
11,Sand mixtures 5,-14.05,-14.77,3.3,18.5,20.5,22.5,0.0,27.5,0.0,below_range_clipped
12,Silty clay / clayey silt 2,-14.77,-15.73,1.14,19.1,19.1,2.14,0.14,28.9,0.0,interpolated
13,Clay & silt 4,-15.73,-17.71,1.04,16.3,16.3,2.13,2.1,22.5,0.0,interpolated
14,Clay & silt 5,-17.71,-18.15,0.92,15.8,15.8,1.91,1.38,22.5,0.0,interpolated
15,Silty clay / clayey silt 3,-18.15,-18.51,1.26,19.3,19.3,2.26,0.26,29.1,0.0,interpolated
16,Sand 2,-18.51,-22.41,19.18,18.6,20.6,64.87,0.0,34.6,4.6,interpolated
17,Sand 3,-22.41,-23.41,29.69,19.5,21.5,92.5,0.0,37.5,7.5,above_range_clipped
18,Sand 4,-23.41,-25.19,16.48,18.2,20.2,52.03,0.0,33.2,3.2,interpolated
19,Sand mixtures 6,-25.19,-25.67,4.37,18.5,20.5,22.5,0.0,27.5,0.0,below_range_clipped
20,Sand 5,-25.67,-28.17,12.76,17.8,19.8,38.29,0.0,31.9,1.9,interpolated
21,Sand mixtures 7,-28.17,-28.47,3.1,18.5,20.5,22.5,0.0,27.5,0.0,below_range_clipped
22,Sand 6,-28.47,-33.91,16.46,18.2,20.2,51.94,0.0,33.2,3.2,interpolated
23,Sand 7,-33.91,-34.91,25.76,19.5,21.5,92.5,0.0,37.5,7.5,above_range_clipped
24,Sand 8,-34.91,-36.35,23.53,19.3,21.3,85.51,0.0,36.8,6.8,interpolated
25,Silty clay / clayey silt 4,-36.35,-37.73,6.27,21.5,21.5,6.0,3.15,31.2,0.0,above_range_clipped
26,Sand 9,-37.73,-39.71,26.48,19.5,21.5,92.5,0.0,37.5,7.5,above_range_clipped
27,Sand 10,-39.71,-40.17,14.83,18.0,20.0,44.5,0.0,32.5,2.5,interpolated
28,Sand mixtures 8 + Sand mixtures 9,-40.17,-41.17,5.2,18.5,20.5,22.5,0.0,27.5,0.0,below_range_clipped
29,Silty clay / clayey silt 5,-41.17,-41.63,3.82,21.5,21.5,6.0,3.15,31.2,0.0,above_range_clipped
