soil_id,top_elevation_m_nap,bottom_elevation_m_nap,soil depth_m,qc_mpa_mean,gamma_unsat_kn_m3,gamma_sat_kn_m3,E100_mpa,c_prime_kpa,phi_prime_deg,dilatancy_deg,interpolation_status
Organic clay 1,-1.51,-2.05,0.54,1.92,15.5,15.5,1.5,0.5,15.0,0.0,above_range_clipped
Sand 1,-2.05,-4.39,2.3400000000000003,9.89,17.5,19.5,29.66,0.0,31.2,1.2,interpolated
Organic clay 2,-4.39,-5.55,1.1599999999999993,0.56,15.5,15.5,1.5,0.5,15.0,0.0,above_range_clipped
Organic clay 3,-5.55,-5.91,0.3600000000000003,0.42,14.8,14.8,1.24,0.5,15.0,0.0,interpolated
Peat 1,-5.91,-6.99,1.08,0.52,12.5,12.5,0.75,3.75,15.0,0.0,above_range_clipped
Organic clay 4,-6.99,-7.37,0.3799999999999999,0.48,15.3,15.3,1.44,0.5,15.0,0.0,interpolated
Clay & silt 1,-7.37,-8.53,1.160000000000001,0.51,15.0,15.0,1.5,0.0,22.5,0.0,below_range_clipped
Peat 2,-8.53,-9.51,0.9800000000000004,0.62,12.5,12.5,0.75,3.75,15.0,0.0,above_range_clipped
Clay & silt 2,-9.51,-11.31,1.7999999999999972,0.79,15.3,15.3,1.67,0.56,22.5,0.0,interpolated
Sand 2,-11.31,-12.11,0.8000000000000007,5.21,17.0,19.0,15.63,0.0,30.1,0.1,interpolated
Sand mixtures 1,-12.11,-12.83,0.7200000000000024,3.77,18.5,20.5,22.5,0.0,27.5,0.0,below_range_clipped
Silty clay / clayey silt 1,-12.83,-13.29,0.4599999999999973,1.16,19.2,19.2,2.16,0.16,28.9,0.0,interpolated
Sand 3,-13.29,-14.01,0.7200000000000024,6.72,17.2,19.2,20.15,0.0,30.4,0.4,interpolated
Sand mixtures 2,-14.01,-14.79,0.7799999999999976,3.64,18.5,20.5,22.5,0.0,27.5,0.0,below_range_clipped
Silty clay / clayey silt 2,-14.79,-15.89,1.1000000000000014,1.18,19.2,19.2,2.18,0.18,29.0,0.0,interpolated
Clay & silt 3,-15.89,-16.61,0.7199999999999989,0.87,15.7,15.7,1.83,1.09,22.5,0.0,interpolated
Silty clay / clayey silt 3,-16.61,-17.35,0.740000000000002,1.04,19.0,19.0,2.04,0.04,28.8,0.0,interpolated
Clay & silt 4,-17.35,-18.01,0.6600000000000001,0.83,15.5,15.5,1.75,0.84,22.5,0.0,interpolated
Silty clay / clayey silt 4,-18.01,-18.41,0.3999999999999986,1.23,19.2,19.2,2.23,0.23,29.0,0.0,interpolated
Sand 4,-18.41,-30.33,11.920000000000002,18.15,18.5,20.5,59.95,0.0,34.1,4.1,interpolated
Sand 5,-30.33,-36.69,6.359999999999996,20.2,18.8,20.8,69.68,0.0,35.1,5.1,interpolated
Sand 6,-36.69,-37.69,1.0,36.36,19.5,21.5,92.5,0.0,37.5,7.5,above_range_clipped
Sand 7,-37.69,-39.09,1.3999999999999986,24.18,19.4,21.4,88.63,0.0,37.1,7.1,interpolated
Sand 8,-39.09,-39.83,0.740000000000002,15.29,18.0,20.0,46.37,0.0,32.6,2.6,interpolated
Sand mixtures 3,-39.83,-41.43,1.6000000000000014,4.94,18.5,20.5,22.5,0.0,27.5,0.0,below_range_clipped
