elevation_m_nap,depth_m,qc_mpa,fs_mpa,rf_percent,col_5,col_6,col_7,corrected_depth,qt_mpa,qt_over_pa,Isbt,Bqt,peat_boundary_qt_over_pa,organic_clay_boundary_qt_over_pa,soil_type,used_organic_boundary_qt_over_pa,distance_to_used_organic_boundary,layer_id,soil_layer_number,layer_top_depth_m,layer_bottom_depth_m,layer_top_elevation_m_nap,layer_bottom_elevation_m_nap
2.66,0.01,0.286,0.002,0.57,0.87,-0.87,-0.08,0.01,0.286,2.86,3.1676997048666378,,,,Clay & silt,,,Clay & silt 1,1,0.01,0.59,2.66,2.08
2.64,0.03,0.409,0.002,0.53,0.87,-0.87,-0.08,0.03,0.409,4.09,3.0102163652964915,,,,Clay & silt,,,Clay & silt 1,1,0.01,0.59,2.66,2.08
2.62,0.05,0.489,0.0027,0.64,0.79,-0.77,-0.19,0.05,0.489,4.89,2.963998744931238,,,,Clay & silt,,,Clay & silt 1,1,0.01,0.59,2.66,2.08
2.6,0.07,0.532,0.0039,0.76,0.88,-0.87,-0.09,0.07,0.532,5.32,2.95665546432515,,,,Clay & silt,,,Clay & silt 1,1,0.01,0.59,2.66,2.08
2.58,0.09,0.582,0.0054,0.96,0.78,-0.77,-0.09,0.09,0.582,5.82,2.9602192109318444,,,,Clay & silt,,,Clay & silt 1,1,0.01,0.59,2.66,2.08
2.56,0.11,0.622,0.007,1.18,0.78,-0.77,-0.09,0.11,0.622,6.22,2.9717094450626598,,,,Clay & silt,,,Clay & silt 1,1,0.01,0.59,2.66,2.08
2.54,0.13,0.642,0.0081,1.32,0.88,-0.87,-0.09,0.13,0.642,6.42,2.9809156633137124,,,,Clay & silt,,,Clay & silt 1,1,0.01,0.59,2.66,2.08
2.52,0.15,0.651,0.0085,1.34,0.88,-0.87,-0.09,0.15,0.651,6.51,2.978464923760868,,,,Clay & silt,,,Clay & silt 1,1,0.01,0.59,2.66,2.08
2.5,0.17,0.645,0.0088,1.36,0.78,-0.77,-0.09,0.17,0.645,6.45,2.9849640012006207,,,,Clay & silt,,,Clay & silt 1,1,0.01,0.59,2.66,2.08
2.48,0.19,0.635,0.0091,1.39,0.78,-0.77,-0.09,0.19,0.635,6.35,2.9953138977750826,,,,Clay & silt,,,Clay & silt 1,1,0.01,0.59,2.66,2.08
2.46,0.21,0.645,0.0093,1.37,0.78,-0.77,-0.09,0.21,0.645,6.45,2.9864080781662743,,,,Clay & silt,,,Clay & silt 1,1,0.01,0.59,2.66,2.08
2.44,0.23,0.671,0.0112,1.58,0.77,-0.77,-0.08,0.23,0.671,6.71,2.999917293151225,,,,Clay & silt,,,Clay & silt 1,1,0.01,0.59,2.66,2.08
2.42,0.25,0.725,0.0137,1.83,0.88,-0.87,-0.09,0.25,0.725,7.25,3.0013325296259317,,,,Clay & silt,,,Clay & silt 1,1,0.01,0.59,2.66,2.08
2.4,0.27,0.798,0.0149,1.86,0.78,-0.77,-0.09,0.27,0.798,7.98,2.9687131826809643,,,,Clay & silt,,,Clay & silt 1,1,0.01,0.59,2.66,2.08
2.38,0.29,0.861,0.0151,1.77,0.87,-0.87,-0.08,0.29,0.861,8.61,2.9293607720615187,,,,Silty clay / clayey silt,,,Clay & silt 1,1,0.01,0.59,2.66,2.08
2.36,0.31,0.924,0.0163,1.77,0.87,-0.86,-0.09,0.31,0.924,9.24,2.9028614135858324,,,,Silty clay / clayey silt,,,Clay & silt 1,1,0.01,0.59,2.66,2.08
2.34,0.33,0.997,0.0178,1.81,0.88,-0.87,-0.09,0.33,0.997,9.97,2.8793891003439733,,,,Silty clay / clayey silt,,,Clay & silt 1,1,0.01,0.59,2.66,2.08
2.32,0.35,1.024,0.0198,1.92,0.87,-0.87,0.02,0.35,1.024,10.24,2.882713806038975,,,,Silty clay / clayey silt,,,Clay & silt 1,1,0.01,0.59,2.66,2.08
2.3,0.37,1.13,0.0229,2.19,0.79,-0.79,-0.08,0.37,1.13,11.3,2.8768899259258585,,,,Silty clay / clayey silt,,,Clay & silt 1,1,0.01,0.59,2.66,2.08
2.28,0.39,1.16,0.0259,2.44,0.85,-0.84,-0.09,0.39,1.16,11.6,2.893153023849836,,,,Silty clay / clayey silt,,,Clay & silt 1,1,0.01,0.59,2.66,2.08
2.26,0.41,1.1,0.0289,2.72,0.87,-0.87,-0.08,0.41,1.1,11.0,2.938661557222932,,,5.727851158496451,Silty clay / clayey silt,,,Clay & silt 1,1,0.01,0.59,2.66,2.08
2.2399999999999998,0.43,1.01,0.0317,3.01,0.88,-0.87,-0.09,0.43,1.01,10.1,2.9941107574268297,,,8.64055181289838,Clay & silt,,,Clay & silt 1,1,0.01,0.59,2.66,2.08
2.2199999999999998,0.45,0.997,0.034,3.34,0.88,-0.87,-0.09,0.45,0.997,9.97,3.024565978957984,,,9.633059012573,Clay & silt,,,Clay & silt 1,1,0.01,0.59,2.66,2.08
2.2,0.47,1.014,0.0351,3.6,0.87,-0.87,-0.08,0.47,1.014,10.14,3.0374923100225164,,,10.138497563318625,Clay & silt,,,Clay & silt 1,1,0.01,0.59,2.66,2.08
2.1799999999999997,0.49,0.964,0.0355,3.73,0.87,-0.87,0.01,0.49,0.964,9.64,3.064316160475384,,,10.345769741888018,Organic clay,10.345769741888018,-0.7057697418880178,Clay & silt 1,1,0.01,0.59,2.66,2.08
