top_elevation_m_nap,bottom_elevation_m_nap,top_depth_m,bottom_depth_m,soil_type,thickness_m,soil_layer_number,layer_id
2.66,2.62,0.01,0.05,Clay & silt,0.04,1,Clay & silt 1
2.62,2.08,0.05,0.59,Sand mixtures,0.5399999999999999,1,Sand mixtures 1
2.08,0.7,0.59,1.97,Sand mixtures,1.38,2,Sand mixtures 2
0.7,0.21999999999999975,1.97,2.45,Sand mixtures,0.4800000000000002,3,Sand mixtures 3
0.21999999999999975,-4.18,2.45,6.85,Sand,4.3999999999999995,1,Sand 1
-4.18,-7.279999999999999,6.85,9.95,Sand,3.0999999999999996,2,Sand 2
-7.279999999999999,-9.32,9.95,11.99,Sand mixtures,2.040000000000001,4,Sand mixtures 4
-9.32,-11.62,11.99,14.29,Sand,2.299999999999999,3,Sand 3
-11.62,-12.72,14.29,15.39,Sand,1.1000000000000014,4,Sand 4
-12.72,-13.18,15.39,15.85,Sand,0.4599999999999991,5,Sand 5
-13.18,-13.500000000000002,15.85,16.17,Dense sand / gravelly sand,0.32000000000000206,1,Dense sand / gravelly sand 1
-13.500000000000002,-17.299999999999997,16.17,19.97,Sand,3.799999999999997,6,Sand 6
