soil_id,top_elevation_m_nap,bottom_elevation_m_nap,soil depth_m,qc_mpa_mean,gamma_unsat_kn_m3,gamma_sat_kn_m3,E100_mpa,c_prime_kpa,phi_prime_deg,dilatancy_deg,interpolation_status
Clay & silt 1,2.66,2.62,0.040000000000000036,0.84,15.5,15.5,1.76,0.87,22.5,0.0,interpolated
Sand mixtures 1,2.62,2.08,0.54,4.72,18.5,20.5,22.5,0.0,27.5,0.0,below_range_clipped
Sand mixtures 2,2.08,0.7,1.3800000000000001,4.08,18.5,20.5,22.5,0.0,27.5,0.0,below_range_clipped
Sand mixtures 3,0.7,0.22,0.4800000000000002,2.97,18.5,20.5,22.5,0.0,27.5,0.0,below_range_clipped
Sand 1,0.22,-4.18,4.3999999999999995,11.6,17.7,19.7,34.79,0.0,31.6,1.6,interpolated
Sand 2,-4.18,-7.28,3.0999999999999996,9.99,17.5,19.5,29.98,0.0,31.2,1.2,interpolated
Sand mixtures 4,-7.28,-9.32,2.040000000000001,2.95,18.5,20.5,22.5,0.0,27.5,0.0,below_range_clipped
Sand 3,-9.32,-11.62,2.299999999999999,23.54,19.3,21.3,85.59,0.0,36.8,6.8,interpolated
Sand 4,-11.62,-12.72,1.1000000000000014,39.74,19.5,21.5,92.5,0.0,37.5,7.5,above_range_clipped
Sand 5,-12.72,-13.18,0.4599999999999991,32.17,19.5,21.5,92.5,0.0,37.5,7.5,above_range_clipped
Dense sand / gravelly sand 1,-13.18,-13.5,0.32000000000000206,31.41,19.5,21.5,97.5,0.0,38.8,8.8,above_range_clipped
Sand 6,-13.5,-17.3,3.7999999999999954,22.48,19.1,21.1,80.54,0.0,36.2,6.2,interpolated
