elevation_m_nap,depth_m,qc_mpa,fs_mpa,rf_percent,col_5,col_6,col_7,corrected_depth,qt_mpa,qt_over_pa,Isbt,Bqt,peat_boundary_qt_over_pa,organic_clay_boundary_qt_over_pa,soil_type,used_organic_boundary_qt_over_pa,distance_to_used_organic_boundary,layer_id,soil_layer_number,layer_top_depth_m,layer_bottom_depth_m,layer_top_elevation_m_nap,layer_bottom_elevation_m_nap
2.7800000000000002,0.01,0.17,0.0033,1.34,0.72,0.23,-0.68,0.01,0.17,1.7,3.5084729625261013,,,,Clay & silt,,,Clay & silt 1,1,0.01,0.07,2.7800000000000002,2.72
2.7600000000000002,0.03,0.279,0.0034,1.11,0.75,0.32,-0.68,0.03,0.279,2.79,3.2784161078029546,,,,Clay & silt,,,Clay & silt 1,1,0.01,0.07,2.7800000000000002,2.72
2.74,0.05,0.336,0.0038,1.02,0.8,0.42,-0.68,0.05,0.336,3.36,3.189764385012028,,,,Clay & silt,,,Clay & silt 1,1,0.01,0.07,2.7800000000000002,2.72
2.72,0.07,0.459,0.0049,0.96,0.72,0.22,-0.68,0.07,0.459,4.59,3.0547294660745217,,,,Clay & silt,,,Silty clay / clayey silt 1,1,0.07,0.89,2.72,1.9
2.7,0.09,0.602,0.0039,0.61,0.77,-0.37,-0.68,0.09,0.602,6.02,2.872100123083279,,,,Silty clay / clayey silt,,,Silty clay / clayey silt 1,1,0.07,0.89,2.72,1.9
2.68,0.11,0.768,0.0053,0.68,0.68,0.02,-0.68,0.11,0.768,7.68,2.7907226007331967,,,,Silty clay / clayey silt,,,Silty clay / clayey silt 1,1,0.07,0.89,2.72,1.9
2.66,0.13,0.934,0.0082,0.88,0.68,0.01,-0.68,0.13,0.934,9.34,2.7575869220952307,,,,Silty clay / clayey silt,,,Silty clay / clayey silt 1,1,0.07,0.89,2.72,1.9
2.64,0.15,1.09,0.0096,0.88,0.68,0.02,-0.68,0.15,1.09,10.9,2.696930428590886,,,,Silty clay / clayey silt,,,Silty clay / clayey silt 1,1,0.07,0.89,2.72,1.9
2.62,0.17,1.256,0.0123,0.99,0.9,-0.58,-0.69,0.17,1.256,12.56,2.6644810107056838,,,,Silty clay / clayey silt,,,Silty clay / clayey silt 1,1,0.07,0.89,2.72,1.9
2.6,0.19,1.423,0.0146,1.06,0.68,0.01,-0.68,0.19,1.423,14.23,2.6302711329930055,,,,Silty clay / clayey silt,,,Silty clay / clayey silt 1,1,0.07,0.89,2.72,1.9
2.58,0.21,1.549,0.0175,1.17,0.77,-0.37,-0.68,0.21,1.549,15.49,2.618699744542033,,,,Silty clay / clayey silt,,,Silty clay / clayey silt 1,1,0.07,0.89,2.72,1.9
2.56,0.23,1.662,0.0199,1.26,0.72,0.22,-0.68,0.23,1.662,16.62,2.608263634505373,,,,Silty clay / clayey silt,,,Silty clay / clayey silt 1,1,0.07,0.89,2.72,1.9
2.54,0.25,1.725,0.0221,1.34,0.72,0.23,-0.68,0.25,1.725,17.25,2.6080495133901596,,,,Silty clay / clayey silt,,,Silty clay / clayey silt 1,1,0.07,0.89,2.72,1.9
2.52,0.27,1.738,0.027,1.59,0.77,0.35,-0.68,0.27,1.738,17.38,2.6444371431140703,,,,Silty clay / clayey silt,,,Silty clay / clayey silt 1,1,0.07,0.89,2.72,1.9
2.5,0.29,1.745,0.0293,1.7,0.55,0.24,-0.49,0.29,1.745,17.45,2.65870225364262,,,,Silty clay / clayey silt,,,Silty clay / clayey silt 1,1,0.07,0.89,2.72,1.9
2.48,0.31,1.722,0.0318,1.83,0.62,0.23,-0.58,0.31,1.722,17.22,2.6810947639388045,,,,Silty clay / clayey silt,,,Silty clay / clayey silt 1,1,0.07,0.89,2.72,1.9
2.46,0.33,1.742,0.04,2.26,0.66,0.32,-0.58,0.33,1.742,17.42,2.728743983011115,,,,Silty clay / clayey silt,,,Silty clay / clayey silt 1,1,0.07,0.89,2.72,1.9
2.44,0.35,1.738,0.0496,2.51,0.72,0.23,-0.68,0.35,1.738,17.38,2.7560879853355718,,,,Silty clay / clayey silt,,,Silty clay / clayey silt 1,1,0.07,0.89,2.72,1.9
2.42,0.37,1.748,0.0565,2.63,0.74,0.33,-0.66,0.37,1.748,17.48,2.7660489051445936,,,,Silty clay / clayey silt,,,Silty clay / clayey silt 1,1,0.07,0.89,2.72,1.9
2.4,0.39,1.971,0.0564,2.64,0.8,0.42,-0.68,0.39,1.971,19.71,2.7252250797508846,,,,Silty clay / clayey silt,,,Silty clay / clayey silt 1,1,0.07,0.89,2.72,1.9
2.38,0.41,3.181,0.051,2.38,0.92,0.62,-0.68,0.41,3.181,31.81,2.5337449942565473,,,,Sand mixtures,,,Silty clay / clayey silt 1,1,0.07,0.89,2.72,1.9
2.36,0.43,2.945,0.0461,2.14,1.04,0.72,-0.75,0.43,2.945,29.45,2.531292655695127,,,,Sand mixtures,,,Silty clay / clayey silt 1,1,0.07,0.89,2.72,1.9
2.34,0.45,1.645,0.0414,1.91,1.05,0.72,-0.77,0.45,1.645,16.45,2.7079271241319183,,,,Silty clay / clayey silt,,,Silty clay / clayey silt 1,1,0.07,0.89,2.72,1.9
2.3200000000000003,0.47,1.795,0.0358,1.66,0.99,0.72,-0.68,0.47,1.795,17.95,2.642779153481466,,,,Silty clay / clayey silt,,,Silty clay / clayey silt 1,1,0.07,0.89,2.72,1.9
2.3,0.49,1.811,0.0319,1.6,1.0,0.72,-0.69,0.49,1.811,18.11,2.6308596517984135,,,,Silty clay / clayey silt,,,Silty clay / clayey silt 1,1,0.07,0.89,2.72,1.9
2.2800000000000002,0.51,1.831,0.0278,1.5,0.92,0.62,-0.68,0.51,1.831,18.31,2.6117610053359135,,,,Silty clay / clayey silt,,,Silty clay / clayey silt 1,1,0.07,0.89,2.72,1.9
2.26,0.53,1.948,0.0277,1.49,0.92,0.62,-0.68,0.53,1.948,19.48,2.5875007853847714,,,,Sand mixtures,,,Silty clay / clayey silt 1,1,0.07,0.89,2.72,1.9
2.24,0.55,2.021,0.0306,1.69,0.92,0.62,-0.68,0.55,2.021,20.21,2.604063957084537,,,,Silty clay / clayey silt,,,Silty clay / clayey silt 1,1,0.07,0.89,2.72,1.9
2.22,0.57,1.948,0.0332,1.93,0.92,0.62,-0.68,0.57,1.948,19.48,2.6496971801662585,,,,Silty clay / clayey silt,,,Silty clay / clayey silt 1,1,0.07,0.89,2.72,1.9
2.2,0.59,1.685,0.0349,2.18,0.92,0.62,-0.68,0.59,1.685,16.85,2.731598548061921,,,,Silty clay / clayey silt,,,Silty clay / clayey silt 1,1,0.07,0.89,2.72,1.9
2.18,0.61,1.443,0.034,2.36,0.92,0.62,-0.68,0.61,1.443,14.43,2.8065741995935825,,,,Silty clay / clayey silt,,,Silty clay / clayey silt 1,1,0.07,0.89,2.72,1.9
2.16,0.63,1.193,0.0329,2.63,0.92,0.62,-0.68,0.63,1.193,11.93,2.9013143267972707,,,,Silty clay / clayey silt,,,Silty clay / clayey silt 1,1,0.07,0.89,2.72,1.9
2.14,0.65,0.967,0.0331,3.06,0.86,0.51,-0.69,0.65,0.967,9.67,3.0137337623695264,,,8.836547164574178,Clay & silt,,,Silty clay / clayey silt 1,1,0.07,0.89,2.72,1.9
2.12,0.67,0.841,0.0343,3.63,0.86,0.52,-0.68,0.67,0.841,8.41,3.1058221160996626,,,10.18848632756699,Organic clay,10.18848632756699,-1.7784863275669895,Silty clay / clayey silt 1,1,0.07,0.89,2.72,1.9
2.1,0.69,0.678,0.0348,4.14,0.86,0.52,-0.68,0.69,0.678,6.78,3.2152261167462566,,,10.879065674924359,Organic clay,10.879065674924359,-4.099065674924359,Silty clay / clayey silt 1,1,0.07,0.89,2.72,1.9
2.08,0.71,0.774,0.0355,4.7,0.85,0.51,-0.68,0.71,0.774,7.74,3.2004581753338393,,,11.428565562298806,Organic clay,11.428565562298806,-3.6885655622988054,Silty clay / clayey silt 1,1,0.07,0.89,2.72,1.9
2.06,0.73,0.731,0.0384,5.44,0.92,0.62,-0.68,0.73,0.731,7.31,3.2582255438540364,,12.752231859378215,11.981185966186027,Peat,12.752231859378215,-5.442231859378215,Silty clay / clayey silt 1,1,0.07,0.89,2.72,1.9
2.04,0.75,0.685,0.0387,5.73,0.85,0.51,-0.68,0.75,0.685,6.85,3.2943408860551835,,14.878241661662887,12.163361629944648,Peat,14.878241661662887,-8.028241661662888,Silty clay / clayey silt 1,1,0.07,0.89,2.72,1.9
2.02,0.77,0.612,0.0384,5.73,0.93,0.62,-0.69,0.77,0.612,6.12,3.3336044514862313,,14.878241661662887,12.163361629944648,Peat,14.878241661662887,-8.758241661662886,Silty clay / clayey silt 1,1,0.07,0.89,2.72,1.9
2.0,0.79,0.618,0.0409,6.24,0.92,0.62,-0.68,0.79,0.618,6.18,3.352323325859316,,17.256101395474623,12.45052641451793,Peat,17.256101395474623,-11.076101395474623,Silty clay / clayey silt 1,1,0.07,0.89,2.72,1.9
1.98,0.81,0.635,0.0438,6.65,0.92,0.62,-0.68,0.81,0.635,6.35,3.3596452602933735,,18.63371272420791,12.656883686023537,Peat,18.63371272420791,-12.283712724207911,Silty clay / clayey silt 1,1,0.07,0.89,2.72,1.9
1.96,0.83,0.635,0.0441,6.25,0.92,0.62,-0.68,0.83,0.635,6.35,3.343331907666362,,17.29381987490509,12.45579573855823,Peat,17.29381987490509,-10.94381987490509,Silty clay / clayey silt 1,1,0.07,0.89,2.72,1.9
1.94,0.85,0.678,0.0403,4.43,0.93,0.62,-0.69,0.85,0.678,6.78,3.2321156535291666,,,11.18263475203,Organic clay,11.18263475203,-4.402634752029999,Silty clay / clayey silt 1,1,0.07,0.89,2.72,1.9
1.92,0.87,0.748,0.0375,2.93,0.93,0.62,-0.69,0.87,0.748,7.48,3.096005375022762,,,8.262213251186553,Organic clay,8.262213251186553,-0.7822132511865529,Silty clay / clayey silt 1,1,0.07,0.89,2.72,1.9
1.9,0.89,1.02,0.038,2.18,0.99,0.72,-0.68,0.89,1.02,10.2,2.9132929404556664,,,,Silty clay / clayey silt,,,Sand mixtures 1,1,0.89,1.55,1.9,1.24
1.88,0.91,2.037,0.0376,1.68,0.99,0.72,-0.68,0.91,2.037,20.37,2.5997843550157578,,,,Sand mixtures,,,Sand mixtures 1,1,0.89,1.55,1.9,1.24
1.8599999999999999,0.93,3.207,0.0374,1.38,0.93,0.72,-0.58,0.93,3.207,32.07,2.388760855511831,,,,Sand mixtures,,,Sand mixtures 1,1,0.89,1.55,1.9,1.24
1.84,0.95,3.872,0.038,1.2,0.86,0.62,-0.59,0.95,3.872,38.72,2.2869279092254775,,,,Sand mixtures,,,Sand mixtures 1,1,0.89,1.55,1.9,1.24
1.82,0.97,4.058,0.038,1.06,0.93,0.72,-0.59,0.97,4.058,40.58,2.2397921216998324,,,,Sand mixtures,,,Sand mixtures 1,1,0.89,1.55,1.9,1.24
1.8,0.99,4.028,0.0383,1.0,0.92,0.62,-0.68,0.99,4.028,40.279999999999994,2.228517739481814,,,,Sand mixtures,,,Sand mixtures 1,1,0.89,1.55,1.9,1.24
