top_elevation_m_nap,bottom_elevation_m_nap,top_depth_m,bottom_depth_m,soil_type,thickness_m,soil_layer_number,layer_id
2.66,2.08,0.01,0.59,Clay & silt,0.58,1,Clay & silt 1
2.08,0.8199999999999998,0.59,1.85,Sand mixtures,1.2600000000000002,1,Sand mixtures 1
0.8199999999999998,0.3599999999999999,1.85,2.31,Sand mixtures,0.45999999999999996,2,Sand mixtures 2
0.3599999999999999,-0.5800000000000001,2.31,3.25,Sand,0.94,1,Sand 1
-0.5800000000000001,-4.42,3.25,7.09,Sand,3.84,2,Sand 2
-4.42,-6.68,7.09,9.35,Sand,2.26,3,Sand 3
-6.68,-7.5,9.35,10.17,Sand mixtures,0.8200000000000003,3,Sand mixtures 3
-7.5,-8.06,10.17,10.73,Sand mixtures,0.5600000000000005,4,Sand mixtures 4
-8.06,-8.44,10.73,11.11,Silty clay / clayey silt,0.379999999999999,1,Silty clay / clayey silt 1
-8.44,-9.66,11.11,12.33,Sand mixtures,1.2200000000000006,5,Sand mixtures 5
-9.66,-12.5,12.33,15.17,Sand,2.84,4,Sand 4
-12.5,-12.86,15.17,15.53,Dense sand / gravelly sand,0.35999999999999943,1,Dense sand / gravelly sand 1
-12.86,-17.259999999999998,15.53,19.93,Sand,4.4,5,Sand 5
