elevation_m_nap,depth_m,qc_mpa,fs_mpa,rf_percent,col_5,col_6,col_7,corrected_depth,qt_mpa,qt_over_pa,Isbt,Bqt,peat_boundary_qt_over_pa,organic_clay_boundary_qt_over_pa,soil_type,used_organic_boundary_qt_over_pa,distance_to_used_organic_boundary,layer_id,soil_layer_number,layer_top_depth_m,layer_bottom_depth_m,layer_top_elevation_m_nap,layer_bottom_elevation_m_nap
3.52,0.01,0.01,0.0045,1.69,0.2,0.2,0.01,0.01,0.01,0.1,4.6986461783578735,,,,"Soil, fine grain",,,"Soil, fine grain 1",1,0.01,0.09,3.52,3.44
3.5,0.03,0.14,0.0061,1.73,0.22,0.2,-0.09,0.03,0.14,1.4,3.629603735127745,,,,"Soil, fine grain",,,"Soil, fine grain 1",1,0.01,0.09,3.52,3.44
3.48,0.05,0.36,0.0079,1.83,0.2,0.2,0.0,0.05,0.36,3.6,3.269142754680178,,,,Clay & silt,,,"Soil, fine grain 1",1,0.01,0.09,3.52,3.44
3.46,0.07,0.546,0.0101,1.95,0.2,0.2,0.0,0.07,0.546,5.46,3.122249282104148,,,,Clay & silt,,,"Soil, fine grain 1",1,0.01,0.09,3.52,3.44
3.44,0.09,0.699,0.012,1.74,0.2,0.2,0.0,0.09,0.699,6.99,3.004425769983216,,,,Clay & silt,,,Silty clay / clayey silt 1,1,0.09,0.69,3.44,2.84
3.42,0.11,0.839,0.014,1.59,0.22,0.2,0.09,0.11,0.839,8.39,2.9161100694502866,,,,Silty clay / clayey silt,,,Silty clay / clayey silt 1,1,0.09,0.69,3.44,2.84
3.4,0.13,1.023,0.0169,1.58,0.2,0.2,0.0,0.13,1.023,10.229999999999999,2.839859121148293,,,,Silty clay / clayey silt,,,Silty clay / clayey silt 1,1,0.09,0.69,3.44,2.84
3.38,0.15,1.246,0.0196,1.57,0.22,0.2,0.09,0.15,1.246,12.46,2.764586116044402,,,,Silty clay / clayey silt,,,Silty clay / clayey silt 1,1,0.09,0.69,3.44,2.84
3.36,0.17,1.452,0.0216,1.53,0.22,0.2,0.09,0.17,1.452,14.52,2.7018838087138928,,,,Silty clay / clayey silt,,,Silty clay / clayey silt 1,1,0.09,0.69,3.44,2.84
3.34,0.19,1.655,0.0236,1.51,0.22,0.2,0.09,0.19,1.655,16.55,2.6504805134849487,,,,Silty clay / clayey silt,,,Silty clay / clayey silt 1,1,0.09,0.69,3.44,2.84
3.32,0.21,1.809,0.0258,1.53,0.22,0.2,0.09,0.21,1.809,18.09,2.6207987544318905,,,,Silty clay / clayey silt,,,Silty clay / clayey silt 1,1,0.09,0.69,3.44,2.84
3.3,0.23,1.885,0.0276,1.56,0.2,0.2,0.01,0.23,1.885,18.85,2.6102833909324015,,,,Silty clay / clayey silt,,,Silty clay / clayey silt 1,1,0.09,0.69,3.44,2.84
3.28,0.25,1.899,0.0281,1.55,0.22,0.2,0.09,0.25,1.899,18.99,2.606069517308544,,,,Silty clay / clayey silt,,,Silty clay / clayey silt 1,1,0.09,0.69,3.44,2.84
3.26,0.27,1.882,0.0281,1.55,0.22,0.2,0.09,0.27,1.882,18.82,2.609354425091195,,,,Silty clay / clayey silt,,,Silty clay / clayey silt 1,1,0.09,0.69,3.44,2.84
3.2399999999999998,0.29,1.825,0.0281,1.57,0.22,0.2,0.09,0.29,1.825,18.25,2.623602778712386,,,,Silty clay / clayey silt,,,Silty clay / clayey silt 1,1,0.09,0.69,3.44,2.84
3.2199999999999998,0.31,1.752,0.0272,1.57,0.22,0.2,0.09,0.31,1.752,17.52,2.638545474574458,,,,Silty clay / clayey silt,,,Silty clay / clayey silt 1,1,0.09,0.69,3.44,2.84
3.1999999999999997,0.33,1.669,0.0265,1.58,0.22,0.2,0.09,0.33,1.669,16.69,2.6578262638666357,,,,Silty clay / clayey silt,,,Silty clay / clayey silt 1,1,0.09,0.69,3.44,2.84
3.1799999999999997,0.35,1.592,0.0261,1.62,0.22,0.2,0.09,0.35,1.592,15.92,2.680969124114396,,,,Silty clay / clayey silt,,,Silty clay / clayey silt 1,1,0.09,0.69,3.44,2.84
3.1599999999999997,0.37,1.535,0.025,1.62,0.22,0.2,0.09,0.37,1.535,15.35,2.6943782417400644,,,,Silty clay / clayey silt,,,Silty clay / clayey silt 1,1,0.09,0.69,3.44,2.84
3.1399999999999997,0.39,1.479,0.0241,1.64,0.22,0.2,0.09,0.39,1.479,14.79,2.710889755948684,,,,Silty clay / clayey silt,,,Silty clay / clayey silt 1,1,0.09,0.69,3.44,2.84
