soil_id,top_elevation_m_nap,bottom_elevation_m_nap,soil depth_m,qc_mpa_mean,gamma_unsat_kn_m3,gamma_sat_kn_m3,E100_mpa,c_prime_kpa,phi_prime_deg,dilatancy_deg,interpolation_status
Clay & silt 1,2.66,2.08,0.5800000000000001,0.8,15.4,15.4,1.69,0.65,22.5,0.0,interpolated
Sand mixtures 1,2.08,0.82,1.2600000000000002,2.75,18.5,20.5,22.5,0.0,27.5,0.0,below_range_clipped
Sand mixtures 2,0.82,0.36,0.45999999999999996,4.11,18.5,20.5,22.5,0.0,27.5,0.0,below_range_clipped
Sand 1,0.36,-0.58,0.94,7.56,17.3,19.3,22.69,0.0,30.6,0.6,interpolated
Sand 2,-0.58,-4.42,3.84,9.83,17.5,19.5,29.5,0.0,31.2,1.2,interpolated
Sand 3,-4.42,-6.68,2.26,8.75,17.4,19.4,26.24,0.0,30.9,0.9,interpolated
Sand mixtures 3,-6.68,-7.5,0.8200000000000003,2.45,18.5,20.5,22.5,0.0,27.5,0.0,below_range_clipped
Sand mixtures 4,-7.5,-8.06,0.5600000000000005,1.65,18.5,20.5,22.5,0.0,27.5,0.0,below_range_clipped
Silty clay / clayey silt 1,-8.06,-8.44,0.379999999999999,1.43,19.4,19.4,2.43,0.43,29.3,0.0,interpolated
Sand mixtures 5,-8.44,-9.66,1.2200000000000006,3.06,18.5,20.5,22.5,0.0,27.5,0.0,below_range_clipped
Sand 4,-9.66,-12.5,2.84,27.73,19.5,21.5,92.5,0.0,37.5,7.5,above_range_clipped
Dense sand / gravelly sand 1,-12.5,-12.86,0.35999999999999943,38.18,19.5,21.5,97.5,0.0,38.8,8.8,above_range_clipped
Sand 5,-12.86,-17.26,4.399999999999999,26.8,19.5,21.5,92.5,0.0,37.5,7.5,above_range_clipped
