elevation_m_nap,depth_m,qc_mpa,fs_mpa,rf_percent,col_5,col_6,col_7,corrected_depth,qt_mpa,qt_over_pa,Isbt,Bqt,peat_boundary_qt_over_pa,organic_clay_boundary_qt_over_pa,soil_type,used_organic_boundary_qt_over_pa,distance_to_used_organic_boundary,layer_id,soil_layer_number,layer_top_depth_m,layer_bottom_depth_m,layer_top_elevation_m_nap,layer_bottom_elevation_m_nap
2.66,0.01,0.651,0.0192,1.92,0.92,-0.87,0.3,0.01,0.651,6.51,3.0522903774899834,,,,Clay & silt,,,Clay & silt 1,1,0.01,0.05,2.66,2.62
2.64,0.03,1.027,0.0217,1.8,0.96,-0.87,0.41,0.03,1.027,10.27,2.8671074008673387,,,,Silty clay / clayey silt,,,Clay & silt 1,1,0.01,0.05,2.66,2.62
2.62,0.05,1.462,0.0254,1.78,0.87,-0.77,0.41,0.05,1.462,14.62,2.734118248754622,,,,Silty clay / clayey silt,,,Sand mixtures 1,1,0.05,0.59,2.62,2.08
2.6,0.07,1.865,0.0226,1.21,0.95,-0.86,0.41,0.07,1.865,18.65,2.5562205113981022,,,,Sand mixtures,,,Sand mixtures 1,1,0.05,0.59,2.62,2.08
2.58,0.09,2.24,0.0195,0.87,0.88,-0.78,0.41,0.09,2.24,22.4,2.4161608723281414,,,,Sand mixtures,,,Sand mixtures 1,1,0.05,0.59,2.62,2.08
2.56,0.11,2.745,0.0281,1.07,0.88,-0.78,0.41,0.11,2.745,27.45,2.384906709416202,,,,Sand mixtures,,,Sand mixtures 1,1,0.05,0.59,2.62,2.08
2.54,0.13,3.051,0.0365,1.22,0.88,-0.78,0.41,0.13,3.051,30.51,2.3767658180797944,,,,Sand mixtures,,,Sand mixtures 1,1,0.05,0.59,2.62,2.08
2.52,0.15,3.327,0.035,1.04,0.88,-0.78,0.41,0.15,3.327,33.27,2.3075419331270433,,,,Sand mixtures,,,Sand mixtures 1,1,0.05,0.59,2.62,2.08
2.5,0.17,3.689,0.0292,0.8,0.87,-0.77,0.41,0.17,3.689,36.89,2.2097709803127152,,,,Sand mixtures,,,Sand mixtures 1,1,0.05,0.59,2.62,2.08
2.48,0.19,4.068,0.0316,0.8,0.88,-0.78,0.41,0.19,4.068,40.67999999999999,2.1733003449820174,,,,Sand mixtures,,,Sand mixtures 1,1,0.05,0.59,2.62,2.08
2.46,0.21,4.371,0.0378,0.9,0.93,-0.78,0.51,0.21,4.371,43.71,2.173849133808143,,,,Sand mixtures,,,Sand mixtures 1,1,0.05,0.59,2.62,2.08
2.44,0.23,4.494,0.0403,0.9,0.92,-0.77,0.51,0.23,4.494,44.94,2.163716255935462,,,,Sand mixtures,,,Sand mixtures 1,1,0.05,0.59,2.62,2.08
2.42,0.25,4.773,0.0453,0.96,0.85,-0.68,0.51,0.25,4.773,47.73,2.157286314654182,,,,Sand mixtures,,,Sand mixtures 1,1,0.05,0.59,2.62,2.08
2.4,0.27,4.863,0.0516,1.04,0.88,-0.78,0.41,0.27,4.863,48.63,2.1701801460756402,,,,Sand mixtures,,,Sand mixtures 1,1,0.05,0.59,2.62,2.08
2.38,0.29,5.251,0.0547,1.07,0.79,-0.68,0.41,0.29,5.251,52.51,2.1500262367029657,,,,Sand mixtures,,,Sand mixtures 1,1,0.05,0.59,2.62,2.08
2.36,0.31,5.364,0.0562,1.07,0.84,-0.68,0.5,0.31,5.364,53.64,2.1425076822627838,,,,Sand mixtures,,,Sand mixtures 1,1,0.05,0.59,2.62,2.08
2.34,0.33,5.544,0.0582,1.09,0.85,-0.68,0.51,0.33,5.544,55.44,2.135604754629863,,,,Sand mixtures,,,Sand mixtures 1,1,0.05,0.59,2.62,2.08
2.32,0.35,5.534,0.0605,1.1,0.85,-0.68,0.51,0.35,5.534,55.34,2.1385755228673915,,,,Sand mixtures,,,Sand mixtures 1,1,0.05,0.59,2.62,2.08
2.3,0.37,5.477,0.0629,1.13,0.85,-0.68,0.51,0.37,5.477,54.77,2.1491098071649506,,,,Sand mixtures,,,Sand mixtures 1,1,0.05,0.59,2.62,2.08
2.28,0.39,5.534,0.0643,1.14,0.85,-0.68,0.51,0.39,5.534,55.34,2.1477615696821375,,,,Sand mixtures,,,Sand mixtures 1,1,0.05,0.59,2.62,2.08
2.26,0.41,5.657,0.0651,1.15,0.78,-0.59,0.51,0.41,5.657,56.57,2.14235785800129,,,,Sand mixtures,,,Sand mixtures 1,1,0.05,0.59,2.62,2.08
2.2399999999999998,0.43,5.797,0.0613,1.07,0.85,-0.68,0.51,0.43,5.797,57.97,2.115210343632092,,,,Sand mixtures,,,Sand mixtures 1,1,0.05,0.59,2.62,2.08
2.2199999999999998,0.45,5.883,0.0612,1.06,0.84,-0.68,0.5,0.45,5.883,58.83,2.107641044976145,,,,Sand mixtures,,,Sand mixtures 1,1,0.05,0.59,2.62,2.08
2.2,0.47,5.85,0.0639,1.09,0.84,-0.58,0.6,0.47,5.85,58.5,2.1167899145029843,,,,Sand mixtures,,,Sand mixtures 1,1,0.05,0.59,2.62,2.08
2.1799999999999997,0.49,5.807,0.0615,1.04,0.99,-0.78,0.61,0.49,5.807,58.07,2.1073328769873356,,,,Sand mixtures,,,Sand mixtures 1,1,0.05,0.59,2.62,2.08
2.16,0.51,5.893,0.0603,1.0,0.85,-0.68,0.51,0.51,5.893,58.93,2.092189334995546,,,,Sand mixtures,,,Sand mixtures 1,1,0.05,0.59,2.62,2.08
