soil_id,top_elevation_m_nap,bottom_elevation_m_nap,soil depth_m,qc_mpa_mean,gamma_unsat_kn_m3,gamma_sat_kn_m3,E100_mpa,c_prime_kpa,phi_prime_deg,dilatancy_deg,interpolation_status
Clay & silt 1,2.78,2.72,0.06000000000000005,0.26,15.0,15.0,1.5,0.0,22.5,0.0,below_range_clipped
Silty clay / clayey silt 1,2.72,1.9,0.8200000000000003,1.36,19.4,19.4,2.36,0.36,29.2,0.0,interpolated
Sand mixtures 1,1.9,1.24,0.6599999999999999,2.65,18.5,20.5,22.5,0.0,27.5,0.0,below_range_clipped
Sand mixtures 2,1.24,0.36,0.8800000000000001,2.26,18.5,20.5,22.5,0.0,27.5,0.0,below_range_clipped
Sand 1,0.36,-1.96,2.32,13.64,17.9,19.9,40.93,0.0,32.2,2.2,interpolated
Sand 2,-1.96,-2.56,0.5999999999999996,12.44,17.7,19.7,37.32,0.0,31.9,1.9,interpolated
Sand 3,-2.56,-4.28,1.7200000000000006,11.99,17.7,19.7,35.97,0.0,31.7,1.7,interpolated
Sand 4,-4.28,-7.36,3.08,11.5,17.7,19.7,34.5,0.0,31.6,1.6,interpolated
Sand 5,-7.36,-8.32,0.96,9.9,17.5,19.5,29.69,0.0,31.2,1.2,interpolated
Sand mixtures 3,-8.32,-9.54,1.2199999999999989,5.26,18.5,20.5,22.5,0.0,27.5,0.0,below_range_clipped
Sand 6,-9.54,-17.02,7.48,25.83,19.5,21.5,92.5,0.0,37.5,7.5,above_range_clipped
