elevation_m_nap,depth_m,qc_mpa,fs_mpa,col_4,col_5,col_6,col_7,rf_percent,col_9,corrected_depth,qt_mpa,qt_over_pa,Isbt,Bqt,peat_boundary_qt_over_pa,organic_clay_boundary_qt_over_pa,soil_type,used_organic_boundary_qt_over_pa,distance_to_used_organic_boundary,layer_id,soil_layer_number,layer_top_depth_m,layer_bottom_depth_m,layer_top_elevation_m_nap,layer_bottom_elevation_m_nap
1.42,0.02,0.098848,0.001517,0.28839,-0.23333,-0.16949,1.8,0.29442,22.0,0.02,0.098848,0.98848,3.5426718929372996,,,,Clay & silt,,,Clay & silt 1,1,0.02,0.3,1.42,1.14
1.4,0.04,0.26512,0.0017869,0.28664,-0.18333,-0.22034,2.4,0.27186,23.0,0.04,0.26512,2.6512000000000002,3.1160360144354327,,,,Clay & silt,,,Clay & silt 1,1,0.02,0.3,1.42,1.14
1.38,0.06,0.50316,0.0022375,0.24197,-0.1,-0.22034,2.45,0.27548,24.0,0.06,0.50316,5.0316,2.845904070096769,,,,Silty clay / clayey silt,,,Clay & silt 1,1,0.02,0.3,1.42,1.14
1.3599999999999999,0.08,0.74631,0.002858,0.32347,-0.2,-0.25424,2.45,0.29684,25.0,0.079999,0.74631,7.463100000000001,2.687827314344225,,,,Silty clay / clayey silt,,,Clay & silt 1,1,0.02,0.3,1.42,1.14
1.3399999999999999,0.1,0.96283,0.0016937,0.27342,-0.2,-0.18644,2.4,0.13597,26.0,0.099999,0.96283,9.6283,2.5114453103951777,,,,Sand mixtures,,,Clay & silt 1,1,0.02,0.3,1.42,1.14
1.3199999999999998,0.12,1.3675,0.0027531,0.28072,-0.15,-0.23729,2.4,0.18162,27.0,0.12,1.3675,13.675,2.3827490487684413,,,,Sand mixtures,,,Clay & silt 1,1,0.02,0.3,1.42,1.14
1.2999999999999998,0.14,1.7418,0.0044968,0.26442,-0.11667,-0.23729,2.4,0.24635,28.0,0.14,1.7418,17.418,2.311373007929155,,,,Sand mixtures,,,Clay & silt 1,1,0.02,0.3,1.42,1.14
1.28,0.16,2.017,0.0058312,0.25272,-0.15,-0.20339,2.4,0.27164,28.0,0.16,2.017,20.17,2.2619032550888383,,,,Sand mixtures,,,Clay & silt 1,1,0.02,0.3,1.42,1.14
1.26,0.18,2.3612,0.0076703,0.21993,-0.11667,-0.18644,2.4,0.3112,29.0,0.18,2.3612,23.612000000000002,2.2147861331690977,,,,Sand mixtures,,,Clay & silt 1,1,0.02,0.3,1.42,1.14
1.24,0.2,2.4267,0.010073,0.27973,-0.11667,-0.25424,0.5,0.36488,40.0,0.2,2.4267,24.267,2.2268625057578206,,,,Sand mixtures,,,Clay & silt 1,1,0.02,0.3,1.42,1.14
1.22,0.22,2.9798,0.01134,0.23447,-0.11667,-0.20339,2.1,0.37401,41.0,0.22,2.9798,29.798000000000002,2.147541119518947,,,,Sand mixtures,,,Clay & silt 1,1,0.02,0.3,1.42,1.14
1.2,0.24,3.3163,0.012814,0.28708,-0.13333,-0.25424,2.35,0.38993,42.0,0.24,3.3163,33.163000000000004,2.1113147351704686,,,,Sand mixtures,,,Clay & silt 1,1,0.02,0.3,1.42,1.14
1.18,0.26,3.5077,0.013714,0.2732,-0.1,-0.25424,2.45,0.38975,43.0,0.26,3.5077,35.077,2.0887586587577807,,,,Sand mixtures,,,Clay & silt 1,1,0.02,0.3,1.42,1.14
1.16,0.28,3.7345,0.014645,0.28708,-0.13333,-0.25424,2.4,0.38863,44.0,0.28,3.7345,37.345,2.063218524332308,,,,Sand mixtures,,,Clay & silt 1,1,0.02,0.3,1.42,1.14
1.14,0.3,3.9137,0.016187,0.27973,-0.11667,-0.25424,2.45,0.40722,44.0,0.3,3.9137,39.137,2.0526309723081466,,,,Sand mixtures,,,Sand 1,1,0.3,1.86,1.14,-0.42000000000000015
1.1199999999999999,0.32,4.0494,0.01616,0.2575,-0.1,-0.23729,2.4,0.38675,45.0,0.32,4.0494,40.49400000000001,2.0300879808348777,,,,Sand,,,Sand 1,1,0.3,1.86,1.14,-0.42000000000000015
