layer_id,top_elevation_m_nap,bottom_elevation_m_nap,soil_type
"Soil, fine grain 1",1.38,1.2799999999999998,"Soil, fine grain"
Sand mixtures 1,1.2799999999999998,0.98,Sand mixtures
Sand 1,0.98,0.039999999999999813,Sand
Sand mixtures 2,0.039999999999999813,-0.9199999999999999,Sand mixtures
Peat 1,-0.9199999999999999,-1.62,Peat
Sand 2,-1.62,-3.94,Sand
Sand mixtures 3,-3.94,-4.66,Sand mixtures
Sand 3,-4.66,-10.24,Sand
Sand 4,-10.24,-12.76,Sand
Sand 5,-12.76,-20.92,Sand
Sand 6,-20.92,-24.040000000000003,Sand
