index,soil_id,top_elevation_m_nap,bottom_elevation_m_nap,qc_mpa_mean,gamma_unsat_kn_m3,gamma_sat_kn_m3,E100_mpa,c_prime_kpa,phi_prime_deg,dilatancy_deg,interpolation_status
1,"Soil, fine grain 1",1.38,1.28,0.19,14.0,14.0,1.0,0.0,17.5,0.0,below_range_clipped
2,Sand mixtures 1,1.28,0.98,3.38,18.5,20.5,22.5,0.0,27.5,0.0,below_range_clipped
3,Sand 1,0.98,0.04,12.18,17.7,19.7,36.54,0.0,31.8,1.8,interpolated
4,Sand mixtures 2,0.04,-0.92,2.07,18.5,20.5,22.5,0.0,27.5,0.0,below_range_clipped
5,Peat 1,-0.92,-1.62,0.92,12.5,12.5,0.75,3.75,15.0,0.0,above_range_clipped
6,Sand 2,-1.62,-3.94,13.32,17.8,19.8,39.95,0.0,32.1,2.1,interpolated
7,Sand mixtures 3,-3.94,-4.66,3.25,18.5,20.5,22.5,0.0,27.5,0.0,below_range_clipped
8,Sand 3,-4.66,-10.24,12.5,17.7,19.7,37.49,0.0,31.9,1.9,interpolated
9,Sand 4,-10.24,-12.76,16.66,18.2,20.2,52.89,0.0,33.3,3.3,interpolated
10,Sand 5 + Sand 6,-12.76,-24.04,28.58,19.5,21.5,92.5,0.0,37.5,7.5,above_range_clipped
