top_elevation_m_nap,bottom_elevation_m_nap,top_depth_m,bottom_depth_m,soil_type,thickness_m,soil_layer_number,layer_id
1.43,1.25,0.02,0.2,Clay & silt,0.18000000000000002,1,Clay & silt 1
1.25,0.010000000000000009,0.2,1.44,Sand,1.24,1,Sand 1
0.010000000000000009,-0.8299999999999998,1.44,2.28,Sand mixtures,0.8399999999999999,1,Sand mixtures 1
-0.8299999999999998,-1.51,2.28,2.96,Peat,0.6800000000000002,1,Peat 1
-1.51,-4.03,2.96,5.48,Sand,2.5200000000000005,2,Sand 2
-4.03,-4.51,5.48,5.96,Sand mixtures,0.47999999999999954,2,Sand mixtures 2
-4.51,-6.13,5.96,7.58,Sand,1.62,3,Sand 3
-6.13,-6.45,7.58,7.9,Sand mixtures,0.3200000000000003,3,Sand mixtures 3
-6.45,-9.39,7.9,10.84,Sand,2.9399999999999995,4,Sand 4
-9.39,-14.79,10.84,16.24,Sand,5.399999999999999,5,Sand 5
-14.79,-23.57,16.24,25.02,Sand,8.780000000000001,6,Sand 6
