index,soil_id,top_elevation_m_nap,bottom_elevation_m_nap,qc_mpa_mean,gamma_unsat_kn_m3,gamma_sat_kn_m3,E100_mpa,c_prime_kpa,phi_prime_deg,dilatancy_deg,interpolation_status
1,Clay & silt 1,1.43,1.25,1.38,17.5,17.5,2.77,4.22,22.5,0.0,interpolated
2,Sand 1,1.25,0.01,9.1,17.4,19.4,27.3,0.0,31.0,1.0,interpolated
3,Sand mixtures 1,0.01,-0.83,1.52,18.5,20.5,22.5,0.0,27.5,0.0,below_range_clipped
4,Peat 1,-0.83,-1.51,0.7,12.5,12.5,0.75,3.75,15.0,0.0,above_range_clipped
5,Sand 2,-1.51,-4.03,12.97,17.8,19.8,38.91,0.0,32.0,2.0,interpolated
6,Sand mixtures 2,-4.03,-4.51,3.26,18.5,20.5,22.5,0.0,27.5,0.0,below_range_clipped
7,Sand 3,-4.51,-6.13,7.68,17.3,19.3,23.04,0.0,30.7,0.7,interpolated
8,Sand mixtures 3,-6.13,-6.45,4.59,18.5,20.5,22.5,0.0,27.5,0.0,below_range_clipped
9,Sand 4,-6.45,-9.39,7.8,17.3,19.3,23.4,0.0,30.7,0.7,interpolated
10,Sand 5,-9.39,-14.79,16.94,18.3,20.3,54.22,0.0,33.5,3.5,interpolated
11,Sand 6,-14.79,-23.57,30.64,19.5,21.5,92.5,0.0,37.5,7.5,above_range_clipped
