elevation_m_nap,depth_m,qc_mpa,fs_mpa,col_4,col_5,col_6,col_7,rf_percent,col_9,corrected_depth,qt_mpa,qt_over_pa,Isbt,Bqt,peat_boundary_qt_over_pa,organic_clay_boundary_qt_over_pa,soil_type,used_organic_boundary_qt_over_pa,distance_to_used_organic_boundary,layer_id,soil_layer_number,layer_top_depth_m,layer_bottom_depth_m,layer_top_elevation_m_nap,layer_bottom_elevation_m_nap
1.46,0.02,0.12826,0.0001498,0.77856,0.76667,0.13559,2.0,0.050184,12.0,0.02,0.12826,1.2826000000000002,3.3628470699522475,,,,Clay & silt,,,Clay & silt 1,1,0.02,0.14,1.46,1.3399999999999999
1.44,0.04,0.21611,0.00062279,0.88249,0.85,0.23729,2.35,0.17639,13.0,0.039998,0.21611,2.1611,3.169836221028331,,,,Clay & silt,,,Clay & silt 1,1,0.02,0.14,1.46,1.3399999999999999
1.42,0.06,0.28216,0.0010061,0.82355,0.78333,0.25424,2.45,0.23283,14.0,0.059996,0.28216,2.8216,3.076040061923054,,,,Clay & silt,,,Clay & silt 1,1,0.02,0.14,1.46,1.3399999999999999
1.4,0.08,0.37942,0.0021746,0.9133,0.86667,0.28814,2.4,0.41331,15.0,0.079993,0.37942,3.7941999999999996,3.009409129216877,,,,Clay & silt,,,Clay & silt 1,1,0.02,0.14,1.46,1.3399999999999999
1.38,0.1,0.48652,0.002735,0.87124,0.83333,0.25424,2.45,0.40576,15.0,0.099991,0.48652,4.8652,2.9035423959599553,,,,Silty clay / clayey silt,,,Clay & silt 1,1,0.02,0.14,1.46,1.3399999999999999
1.3599999999999999,0.12,0.62602,0.0028148,0.92913,0.88333,0.28814,2.4,0.32836,16.0,0.11999,0.62602,6.2602,2.7729663349416858,,,,Silty clay / clayey silt,,,Clay & silt 1,1,0.02,0.14,1.46,1.3399999999999999
1.3399999999999999,0.14,0.90619,0.0038329,1.0031,0.95,0.32203,2.4,0.36305,17.0,0.13999,0.90619,9.061900000000001,2.631048207411533,,,,Silty clay / clayey silt,,,Sand mixtures 1,1,0.14,0.44,1.3399999999999999,1.04
1.32,0.16,1.1844,0.0050536,0.98731,0.93333,0.32203,2.4,0.3969,18.0,0.15998,1.1844,11.844,2.5324807337191277,,,,Sand mixtures,,,Sand mixtures 1,1,0.14,0.44,1.3399999999999999,1.04
1.3,0.18,1.3116,0.0050833,1.0717,1.0167,0.33898,0.0,0.33731,28.0,0.17998,1.3116,13.116000000000001,2.468275901338015,,,,Sand mixtures,,,Sand mixtures 1,1,0.14,0.44,1.3399999999999999,1.04
1.28,0.2,1.6816,0.0059182,1.095,1.0167,0.40678,2.1,0.33953,30.0,0.19997,1.6816,16.816,2.3665583885766868,,,,Sand mixtures,,,Sand mixtures 1,1,0.14,0.44,1.3399999999999999,1.04
1.26,0.22,1.8702,0.0065486,1.0614,1.0,0.35593,2.4,0.33246,30.0,0.21997,1.8702,18.702,2.319886521223705,,,,Sand mixtures,,,Sand mixtures 1,1,0.14,0.44,1.3399999999999999,1.04
1.24,0.24,2.1196,0.0067431,1.095,1.0167,0.40678,2.45,0.30873,31.0,0.23997,2.1196,21.196000000000005,2.258129627569617,,,,Sand mixtures,,,Sand mixtures 1,1,0.14,0.44,1.3399999999999999,1.04
1.22,0.26,2.3566,0.0070561,1.1322,1.05,0.42373,2.45,0.29352,32.0,0.25996,2.3566,23.566,2.2075439207196053,,,,Sand mixtures,,,Sand mixtures 1,1,0.14,0.44,1.3399999999999999,1.04
1.2,0.28,2.5143,0.00766,1.114,1.0,0.35593,2.35,0.29549,33.0,0.27996,2.5143,25.143,2.1817476346310327,,,,Sand mixtures,,,Sand mixtures 1,1,0.14,0.44,1.3399999999999999,1.04
1.18,0.3,2.7198,0.008667,1.0958,1.0167,0.38983,2.4,0.31255,34.0,0.29996,2.7198,27.198,2.1573640501496847,,,,Sand mixtures,,,Sand mixtures 1,1,0.14,0.44,1.3399999999999999,1.04
1.16,0.32,2.8997,0.0093833,1.0775,0.98333,0.44068,2.35,0.31953,35.0,0.31995,2.8997,28.997000000000003,2.1343765640005468,,,,Sand mixtures,,,Sand mixtures 1,1,0.14,0.44,1.3399999999999999,1.04
1.14,0.34,3.0695,0.0098097,1.0918,0.98333,0.47458,2.4,0.31829,36.0,0.33995,3.0695,30.695,2.110567183096572,,,,Sand mixtures,,,Sand mixtures 1,1,0.14,0.44,1.3399999999999999,1.04
1.12,0.36,3.1889,0.010533,1.1301,1.0333,0.45763,2.4,0.32684,36.0,0.35995,3.1889,31.888999999999996,2.0990036438216157,,,,Sand mixtures,,,Sand mixtures 1,1,0.14,0.44,1.3399999999999999,1.04
1.1,0.38,3.3156,0.010795,1.1149,0.98333,0.52542,2.45,0.32167,37.0,0.37994,3.3156,33.156,2.0807292295408453,,,,Sand mixtures,,,Sand mixtures 1,1,0.14,0.44,1.3399999999999999,1.04
1.08,0.4,3.4282,0.011102,1.107,0.98333,0.50847,2.45,0.31845,38.0,0.39994,3.4282,34.282,2.0656131427477757,,,,Sand mixtures,,,Sand mixtures 1,1,0.14,0.44,1.3399999999999999,1.04
1.06,0.42,3.5201,0.012114,1.1376,1.0,0.54237,2.4,0.33354,39.0,0.41993,3.5201,35.201,2.0620158828017696,,,,Sand mixtures,,,Sand mixtures 1,1,0.14,0.44,1.3399999999999999,1.04
1.04,0.44,3.6396,0.012981,1.107,0.98333,0.50847,2.35,0.34025,40.0,0.43993,3.6396,36.396,2.051652157896546,,,,Sand mixtures,,,Sand 1,1,0.44,1.4,1.04,0.08000000000000007
1.02,0.46,3.7864,0.013099,1.1024,0.95,0.55932,2.4,0.32372,40.0,0.45993,3.7864,37.864000000000004,2.0277954908389884,,,,Sand,,,Sand 1,1,0.44,1.4,1.04,0.08000000000000007
1.0,0.48,3.9409,0.014083,1.0939,0.95,0.54237,2.45,0.32611,41.0,0.47992,3.9409,39.409,2.012763144588826,,,,Sand,,,Sand 1,1,0.44,1.4,1.04,0.08000000000000007
0.98,0.5,4.236,0.016537,1.0507,0.9,0.54237,2.4,0.35527,42.0,0.49992,4.236,42.36,1.9976415650292938,,,,Sand,,,Sand 1,1,0.44,1.4,1.04,0.08000000000000007
0.96,0.52,4.6552,0.019128,1.071,0.93333,0.52542,2.35,0.37996,43.0,0.51992,4.6552,46.552,1.9715493619151336,,,,Sand,,,Sand 1,1,0.44,1.4,1.04,0.08000000000000007
0.94,0.54,5.165,0.022677,1.088,0.93333,0.55932,2.4,0.41749,44.0,0.53991,5.165,51.65,1.9476877848851495,,,,Sand,,,Sand 1,1,0.44,1.4,1.04,0.08000000000000007
0.9199999999999999,0.56,5.6052,0.029327,1.0596,0.9,0.55932,2.4,0.50157,45.0,0.55991,5.6052,56.052,1.95198840201643,,,,Sand,,,Sand 1,1,0.44,1.4,1.04,0.08000000000000007
0.9,0.58,6.2095,0.0287,1.088,0.93333,0.55932,2.4,0.45844,45.0,0.57991,6.2095,62.095,1.8944122869725837,,,,Sand,,,Sand 1,1,0.44,1.4,1.04,0.08000000000000007
0.88,0.6,6.6752,0.0281,1.0596,0.9,0.55932,2.4,0.4274,46.0,0.5999,6.6752,66.752,1.8524867542281516,,,,Sand,,,Sand 1,1,0.44,1.4,1.04,0.08000000000000007
0.86,0.62,6.9671,0.027475,1.0735,0.88333,0.61017,2.4,0.39706,47.0,0.6199,6.9671,69.671,1.8213964495432977,,,,Sand,,,Sand 1,1,0.44,1.4,1.04,0.08000000000000007
0.84,0.64,7.2627,0.030516,1.1244,0.93333,0.62712,2.4,0.41935,48.0,0.63989,7.2627,72.627,1.8161775006632563,,,,Sand,,,Sand 1,1,0.44,1.4,1.04,0.08000000000000007
0.82,0.66,7.5429,0.032348,1.115,0.93333,0.61017,2.4,0.42311,49.0,0.65989,7.5429,75.429,1.8034459454663703,,,,Sand,,,Sand 1,1,0.44,1.4,1.04,0.08000000000000007
0.7999999999999999,0.68,7.1693,0.035225,0.82627,-0.25,-0.78755,1.35,0.43889,101.0,0.67989,7.1693,71.693,1.8303941217490005,,,,Sand,,,Sand 1,1,0.44,1.4,1.04,0.08000000000000007
0.78,0.7,7.9255,0.038543,0.80985,-0.25,-0.77031,2.25,0.4542,101.0,0.69989,7.9255,79.255,1.7993109040663473,,,,Sand,,,Sand 1,1,0.44,1.4,1.04,0.08000000000000007
0.76,0.72,8.4645,0.043195,0.80459,-0.28333,-0.75307,2.35,0.47776,102.0,0.71988,8.4645,84.645,1.785377259940514,,,,Sand,,,Sand 1,1,0.44,1.4,1.04,0.08000000000000007
0.74,0.74,9.1559,0.063163,0.79347,-0.25,-0.75307,2.5,0.65412,103.0,0.73988,9.1559,91.55900000000001,1.8296316730302749,,,,Sand,,,Sand 1,1,0.44,1.4,1.04,0.08000000000000007
0.72,0.76,9.7201,0.070736,0.80985,-0.25,-0.77031,2.5,0.67678,104.0,0.75988,9.7201,97.20100000000001,1.8167938903412573,,,,Sand,,,Sand 1,1,0.44,1.4,1.04,0.08000000000000007
0.7,0.78,10.646,0.075356,0.79182,-0.18333,-0.77031,2.35,0.67009,105.0,0.77988,10.646,106.46,1.782163136729623,,,,Sand,,,Sand 1,1,0.44,1.4,1.04,0.08000000000000007
