elevation_m_nap,depth_m,qc_mpa,fs_mpa,col_4,col_5,col_6,col_7,rf_percent,col_9,corrected_depth,qt_mpa,qt_over_pa,Isbt,Bqt,peat_boundary_qt_over_pa,organic_clay_boundary_qt_over_pa,soil_type,used_organic_boundary_qt_over_pa,distance_to_used_organic_boundary,layer_id,soil_layer_number,layer_top_depth_m,layer_bottom_depth_m,layer_top_elevation_m_nap,layer_bottom_elevation_m_nap
1.44,0.02,0.2,0.018,1.5,-0.6,-1.4,0.0,2.4523,36.0,0.02,0.2,2.0,3.5543069727021135,,,,Clay & silt,,,Clay & silt 1,1,0.02,0.26,1.44,1.2
1.42,0.04,0.31,0.019,1.9,-0.8,-1.8,2.3,1.9965,37.0,0.039989,0.31,3.1,3.3441747782764635,,,,Clay & silt,,,Clay & silt 1,1,0.02,0.26,1.44,1.2
1.4,0.06,0.52,0.02,1.8,-1.8,-0.2,2.4,1.7348,38.0,0.059979,0.52,5.2,3.11671404431059,,,,Clay & silt,,,Clay & silt 1,1,0.02,0.26,1.44,1.2
1.38,0.08,1.02,0.022,0.8,-0.2,-0.8,2.3,1.6495,38.0,0.079977,1.02,10.2,2.8503457344537697,,,,Silty clay / clayey silt,,,Clay & silt 1,1,0.02,0.26,1.44,1.2
1.3599999999999999,0.1,1.62,0.024,0.8,0.0,-0.8,2.4,1.4414,39.0,0.099975,1.62,16.2,2.6477989190631557,,,,Silty clay / clayey silt,,,Clay & silt 1,1,0.02,0.26,1.44,1.2
1.3399999999999999,0.12,2.04,0.021,0.8,-0.8,0.0,2.4,1.0422,40.0,0.11997,2.04,20.4,2.4899238266090444,,,,Sand mixtures,,,Clay & silt 1,1,0.02,0.26,1.44,1.2
1.3199999999999998,0.14,2.36,0.018,1.2,1.2,-0.2,2.4,0.7615,41.0,0.13997,2.36,23.6,2.3688509139996587,,,,Sand mixtures,,,Clay & silt 1,1,0.02,0.26,1.44,1.2
1.3,0.16,2.6,0.0177,1.7,-1.2,-1.2,2.3,0.6586,42.0,0.15996,2.6,26.0,2.302578908756506,,,,Sand mixtures,,,Clay & silt 1,1,0.02,0.26,1.44,1.2
1.28,0.18,2.85,0.0173,1.9,-0.8,-1.8,2.4,0.58078,43.0,0.17995,2.85,28.5,2.24257199890532,,,,Sand mixtures,,,Clay & silt 1,1,0.02,0.26,1.44,1.2
1.26,0.2,3.11,0.017,1.1,-1.0,-0.4,2.4,0.52008,43.0,0.19995,3.11,31.1,2.1876251531278337,,,,Sand mixtures,,,Clay & silt 1,1,0.02,0.26,1.44,1.2
1.24,0.22,3.31,0.019,1.0,-0.8,-0.6,2.3,0.53446,44.0,0.21994,3.31,33.1,2.16834362917048,,,,Sand mixtures,,,Clay & silt 1,1,0.02,0.26,1.44,1.2
