elevation_m_nap,depth_m,qc_mpa,fs_mpa,col_4,col_5,col_6,col_7,rf_percent,col_9,corrected_depth,qt_mpa,qt_over_pa,Isbt,Bqt,peat_boundary_qt_over_pa,organic_clay_boundary_qt_over_pa,soil_type,used_organic_boundary_qt_over_pa,distance_to_used_organic_boundary,layer_id,soil_layer_number,layer_top_depth_m,layer_bottom_depth_m,layer_top_elevation_m_nap,layer_bottom_elevation_m_nap
1.51,0.02,0.058248,8.15e-05,0.023771,0.016667,0.016949,2.1,0.019047,12.0,0.02,0.058248,0.58248,3.7383306680319714,,,,"Soil, fine grain",,,"Soil, fine grain 1",1,0.02,0.28,1.51,1.25
1.49,0.04,0.23541,-3.6e-06,0.17425,0.16667,0.050847,2.45,0.0,13.0,0.04,0.23541,2.3541,,,,,Unknown material,,,"Soil, fine grain 1",1,0.02,0.28,1.51,1.25
1.47,0.06,0.43233,0.00027715,0.19547,0.18333,-0.067797,2.45,0.041167,14.0,0.06,0.43233,4.3233,2.839009767735884,,,,Silty clay / clayey silt,,,"Soil, fine grain 1",1,0.02,0.28,1.51,1.25
1.45,0.08,0.59814,0.00019335,0.15378,0.15,-0.033898,2.4,0.024106,14.0,0.08,0.59814,5.9814,2.722428199741497,,,,Silty clay / clayey silt,,,"Soil, fine grain 1",1,0.02,0.28,1.51,1.25
1.43,0.1,0.81529,0.0010515,0.13494,0.11667,-0.067797,2.4,0.1016,15.0,0.1,0.81529,8.152899999999999,2.568728176562797,,,,Sand mixtures,,,"Soil, fine grain 1",1,0.02,0.28,1.51,1.25
1.4100000000000001,0.12,1.1547,0.00183,0.13333,0.13333,0.0,2.4,0.14378,16.0,0.12,1.1547,11.547,2.43697781253793,,,,Sand mixtures,,,"Soil, fine grain 1",1,0.02,0.28,1.51,1.25
1.3900000000000001,0.14,1.4185,0.0029286,0.18644,0.18333,0.033898,2.4,0.19355,17.0,0.14,1.4185,14.185,2.372921096699992,,,,Sand mixtures,,,"Soil, fine grain 1",1,0.02,0.28,1.51,1.25
1.37,0.16,1.7042,0.0042235,0.22255,0.21667,0.050847,2.4,0.24039,18.0,0.16,1.7042,17.042,2.3177339613717716,,,,Sand mixtures,,,"Soil, fine grain 1",1,0.02,0.28,1.51,1.25
1.35,0.18,1.9211,0.0044774,0.20636,0.2,0.050847,0.0,0.22476,27.0,0.18,1.9211,19.211000000000002,2.2599615852206547,,,,Sand mixtures,,,"Soil, fine grain 1",1,0.02,0.28,1.51,1.25
1.33,0.2,2.1379,0.0050352,0.17425,0.16667,0.050847,1.7,0.22828,29.0,0.2,2.1379,21.379,2.2168173249377428,,,,Sand mixtures,,,"Soil, fine grain 1",1,0.02,0.28,1.51,1.25
1.31,0.22,2.3548,0.0057128,0.23265,0.21667,0.084746,2.35,0.23581,30.0,0.22,2.3548,23.548000000000002,2.1801208422408487,,,,Sand mixtures,,,"Soil, fine grain 1",1,0.02,0.28,1.51,1.25
1.29,0.24,2.5489,0.0057694,0.17425,0.16667,0.050847,2.45,0.21812,30.0,0.24,2.5489,25.489,2.137938358949518,,,,Sand mixtures,,,"Soil, fine grain 1",1,0.02,0.28,1.51,1.25
1.27,0.26,2.6967,0.0063911,0.22437,0.2,0.10169,2.45,0.22187,31.0,0.26,2.6967,26.967,2.1162871137856705,,,,Sand mixtures,,,"Soil, fine grain 1",1,0.02,0.28,1.51,1.25
1.25,0.28,2.8633,0.006654,0.1442,0.11667,0.084746,2.4,0.21096,32.0,0.28,2.8633,28.633000000000003,2.085391769807888,,,,Sand mixtures,,,Sand 1,1,0.28,3.18,1.25,-1.6500000000000001
1.23,0.3,3.1543,0.0074662,0.17228,0.15,0.084746,2.4,0.21451,33.0,0.3,3.1543,31.543000000000003,2.046782302032508,,,,Sand,,,Sand 1,1,0.28,3.18,1.25,-1.6500000000000001
1.21,0.32,3.4838,0.0098516,0.21721,0.2,0.084746,2.35,0.25651,34.0,0.32,3.4838,34.838,2.027991870694647,,,,Sand,,,Sand 1,1,0.28,3.18,1.25,-1.6500000000000001
1.19,0.34,3.8048,0.011908,0.26397,0.25,0.084746,2.45,0.27961,34.0,0.34,3.8048,38.048,2.0037809967208253,,,,Sand,,,Sand 1,1,0.28,3.18,1.25,-1.6500000000000001
1.17,0.36,4.3271,0.012904,0.27515,0.26667,0.067797,2.4,0.2727,35.0,0.36,4.3271,43.270999999999994,1.9475001136256445,,,,Sand,,,Sand 1,1,0.28,3.18,1.25,-1.6500000000000001
1.15,0.38,4.9655,0.014817,0.26989,0.25,0.10169,2.4,0.28323,36.0,0.38,4.9655,49.655,1.897097388325291,,,,Sand,,,Sand 1,1,0.28,3.18,1.25,-1.6500000000000001
1.13,0.4,5.4292,0.01627,0.24825,0.23333,0.084746,2.4,0.28355,37.0,0.4,5.4292,54.292,1.8610675301452206,,,,Sand,,,Sand 1,1,0.28,3.18,1.25,-1.6500000000000001
1.11,0.42,6.043,0.018296,0.23881,0.23333,0.050847,2.4,0.29212,38.0,0.42,6.043,60.43,1.8225976202879612,,,,Sand,,,Sand 1,1,0.28,3.18,1.25,-1.6500000000000001
1.09,0.44,6.6473,0.020082,0.28786,0.28333,0.050847,2.4,0.29667,39.0,0.44,6.6473,66.473,1.7869024473890942,,,,Sand,,,Sand 1,1,0.28,3.18,1.25,-1.6500000000000001
1.07,0.46,7.1519,0.021212,0.20072,0.2,0.016949,2.4,0.29376,40.0,0.46,7.1519,71.519,1.755969249283021,,,,Sand,,,Sand 1,1,0.28,3.18,1.25,-1.6500000000000001
1.05,0.48,7.5362,0.021894,0.20072,0.2,-0.016949,2.4,0.28541,40.0,0.48,7.5362,75.362,1.73015087437621,,,,Sand,,,Sand 1,1,0.28,3.18,1.25,-1.6500000000000001
1.03,0.5,8.0043,0.026431,0.20072,0.2,-0.016949,2.4,0.32724,41.0,0.5,8.0043,80.043,1.730463609635971,,,,Sand,,,Sand 1,1,0.28,3.18,1.25,-1.6500000000000001
1.01,0.52,8.3746,0.029025,0.19025,0.18333,0.050847,2.4,0.3443,42.0,0.52,8.3746,83.74599999999998,1.722287379161197,,,,Sand,,,Sand 1,1,0.28,3.18,1.25,-1.6500000000000001
