top_elevation_m_nap,bottom_elevation_m_nap,top_depth_m,bottom_depth_m,soil_type,thickness_m,soil_layer_number,layer_id
1.51,1.25,0.02,0.28,"Soil, fine grain",0.26,1,"Soil, fine grain 1"
1.25,-1.6500000000000001,0.28,3.18,Sand,2.9000000000000004,1,Sand 1
-1.6500000000000001,-3.8899999999999997,3.18,5.42,Sand,2.2399999999999998,2,Sand 2
-3.8899999999999997,-6.43,5.42,7.96,Sand,2.54,3,Sand 3
-6.43,-11.430000000000001,7.96,12.96,Sand,5.000000000000001,4,Sand 4
-11.430000000000001,-12.47,12.96,14.0,Sand,1.0399999999999991,5,Sand 5
-12.47,-17.349999999999998,14.0,18.88,Sand,4.879999999999999,6,Sand 6
-17.349999999999998,-19.83,18.88,21.36,Sand,2.4800000000000004,7,Sand 7
-19.83,-20.63,21.36,22.16,Sand,0.8000000000000007,8,Sand 8
-20.63,-23.59,22.16,25.12,Sand,2.960000000000001,9,Sand 9
