elevation_m_nap,depth_m,qc_mpa,fs_mpa,col_4,col_5,col_6,col_7,rf_percent,col_9,corrected_depth,qt_mpa,qt_over_pa,Isbt,Bqt,peat_boundary_qt_over_pa,organic_clay_boundary_qt_over_pa,soil_type,used_organic_boundary_qt_over_pa,distance_to_used_organic_boundary,layer_id,soil_layer_number,layer_top_depth_m,layer_bottom_depth_m,layer_top_elevation_m_nap,layer_bottom_elevation_m_nap
1.57,0.02,0.4,0.021,3.5,-2.5,-2.3,0.0,2.3179,126.0,0.02,0.4,4.0,3.276828510463669,,,,Clay & silt,,,Clay & silt 1,1,0.02,0.34,1.57,1.25
1.55,0.04,0.78,0.0197,2.8222,1.0,-1.0,2.4,1.957,127.0,0.039976,0.78,7.8,2.988394729899481,,,,Clay & silt,,,Clay & silt 1,1,0.02,0.34,1.57,1.25
1.53,0.06,0.92,0.0194,2.1445,-0.6,-1.0,2.4,1.719,128.0,0.059962,0.92,9.2,2.898090290454834,,,,Silty clay / clayey silt,,,Clay & silt 1,1,0.02,0.34,1.57,1.25
1.51,0.08,1.1167,0.0191,1.9963,0.2,-0.2,2.3,1.5311,129.0,0.07995,1.1167,11.167,2.8000761621091605,,,,Silty clay / clayey silt,,,Clay & silt 1,1,0.02,0.34,1.57,1.25
1.49,0.1,1.3133,0.0188,1.8482,0.2,-0.8,2.4,1.266,130.0,0.099939,1.3133,13.133,2.6979664646845176,,,,Silty clay / clayey silt,,,Clay & silt 1,1,0.02,0.34,1.57,1.25
1.4700000000000002,0.12,1.51,0.019,1.821,-0.8,-1.6,2.4,1.1103,131.0,0.11993,1.51,15.1,2.617274514005869,,,,Silty clay / clayey silt,,,Clay & silt 1,1,0.02,0.34,1.57,1.25
1.4500000000000002,0.14,1.86,0.02,1.7939,-1.6,-0.8,2.3,1.0211,131.0,0.13992,1.86,18.6,2.520466645327134,,,,Sand mixtures,,,Clay & silt 1,1,0.02,0.34,1.57,1.25
1.4300000000000002,0.16,2.08,0.0183,1.7667,0.0,-1.6,2.4,0.83072,132.0,0.15991,2.08,20.8,2.434992473750639,,,,Sand mixtures,,,Clay & silt 1,1,0.02,0.34,1.57,1.25
1.4100000000000001,0.18,2.3,0.0179,1.8333,-1.4,0.2,2.4,0.73173,133.0,0.1799,2.3,23.0,2.37078643217845,,,,Sand mixtures,,,Clay & silt 1,1,0.02,0.34,1.57,1.25
1.3900000000000001,0.2,2.59,0.0174,1.9,1.0,-0.6,2.4,0.64835,134.0,0.19989,2.59,25.9,2.3010099382763562,,,,Sand mixtures,,,Clay & silt 1,1,0.02,0.34,1.57,1.25
1.37,0.22,2.9,0.017,2.4,0.2,0.2,2.4,0.58369,135.0,0.21987,2.9,29.0,2.2367434441002993,,,,Sand mixtures,,,Clay & silt 1,1,0.02,0.34,1.57,1.25
1.35,0.24,3.07,0.019,2.9,-2.5,-1.4,2.4,0.60389,136.0,0.23985,3.07,30.7,2.2211836519214843,,,,Sand mixtures,,,Clay & silt 1,1,0.02,0.34,1.57,1.25
1.33,0.26,3.26,0.02,2.3333,0.4,-0.4,2.4,0.58932,136.0,0.25983,3.26,32.6,2.1931239866378434,,,,Sand mixtures,,,Clay & silt 1,1,0.02,0.34,1.57,1.25
1.31,0.28,3.41,0.022,2.1518,-1.6,-1.4,2.4,0.60212,137.0,0.27981,3.41,34.1,2.1799740371130123,,,,Sand mixtures,,,Clay & silt 1,1,0.02,0.34,1.57,1.25
1.29,0.3,3.69,0.024,1.9704,-0.2,-1.2,2.4,0.60952,138.0,0.2998,3.69,36.9,2.1520477345947273,,,,Sand mixtures,,,Clay & silt 1,1,0.02,0.34,1.57,1.25
1.27,0.32,3.95,0.025,1.9198,0.0,-0.4,2.3,0.58377,139.0,0.31979,3.95,39.5,2.1171469662039204,,,,Sand mixtures,,,Clay & silt 1,1,0.02,0.34,1.57,1.25
1.25,0.34,4.28,0.026,1.8691,-1.4,-1.2,2.4,0.55511,140.0,0.33978,4.28,42.8,2.0761300461350625,,,,Sand mixtures,,,Sand 1,1,0.34,3.2,1.25,-1.61
1.23,0.36,4.67,0.028,1.8185,-0.2,-0.4,2.4,0.54343,141.0,0.35977,4.67,46.7,2.038322597676967,,,,Sand,,,Sand 1,1,0.34,3.2,1.25,-1.61
1.21,0.38,5.17,0.03,1.8371,-0.8,-1.6,2.4,0.53027,141.0,0.37976,5.17,51.7,1.9943420378813355,,,,Sand,,,Sand 1,1,0.34,3.2,1.25,-1.61
1.19,0.4,5.83,0.032,1.8556,-0.6,-1.0,2.4,0.51916,142.0,0.39975,5.83,58.3,1.9441023775524868,,,,Sand,,,Sand 1,1,0.34,3.2,1.25,-1.61
1.1700000000000002,0.42,6.47,0.035,2.0,-1.6,-1.2,2.4,0.52513,143.0,0.41974,6.47,64.7,1.9070134548291482,,,,Sand,,,Sand 1,1,0.34,3.2,1.25,-1.61
1.1500000000000001,0.44,7.16,0.037,1.2,-0.4,-1.2,2.4,0.5173,144.0,0.43973,7.16,71.6,1.8655779162222847,,,,Sand,,,Sand 1,1,0.34,3.2,1.25,-1.61
1.1300000000000001,0.46,7.73,0.039,1.1,-0.6,0.0,2.3,0.51358,145.0,0.45973,7.73,77.3,1.8352622577554303,,,,Sand,,,Sand 1,1,0.34,3.2,1.25,-1.61
1.11,0.48,8.0,0.042,1.0,-0.8,-0.8,2.4,0.52814,146.0,0.47973,8.0,80.0,1.828656004033651,,,,Sand,,,Sand 1,1,0.34,3.2,1.25,-1.61
1.09,0.5,8.29,0.046,0.9,-0.4,-0.8,2.4,0.55927,146.0,0.49972,8.29,82.9,1.828462320643937,,,,Sand,,,Sand 1,1,0.34,3.2,1.25,-1.61
1.07,0.52,8.57,0.047,0.8,-0.8,-0.2,2.4,0.55778,147.0,0.51972,8.57,85.7,1.815620710452631,,,,Sand,,,Sand 1,1,0.34,3.2,1.25,-1.61
1.05,0.54,8.7,0.048,1.0,-0.8,-0.6,2.4,0.55985,148.0,0.53972,8.7,87.0,1.8109483981189964,,,,Sand,,,Sand 1,1,0.34,3.2,1.25,-1.61
1.03,0.56,8.7,0.049,0.6,-0.6,-0.2,2.4,0.56273,149.0,0.55972,8.7,87.0,1.8121405964711568,,,,Sand,,,Sand 1,1,0.34,3.2,1.25,-1.61
1.0100000000000002,0.58,8.65,0.052,1.3,-1.2,-0.6,2.3,0.58965,150.0,0.57971,8.65,86.5,1.8251894936313502,,,,Sand,,,Sand 1,1,0.34,3.2,1.25,-1.61
0.9900000000000001,0.6,8.77,0.054,1.2926,-1.0,-0.2,2.4,0.607,151.0,0.59971,8.77,87.7,1.8270516664182124,,,,Sand,,,Sand 1,1,0.34,3.2,1.25,-1.61
0.9700000000000001,0.62,8.91,0.056,1.2852,-1.2,-0.8,2.4,0.6257,151.0,0.6197,8.91,89.1,1.828598358215383,,,,Sand,,,Sand 1,1,0.34,3.2,1.25,-1.61
0.9500000000000001,0.64,9.07,0.055,1.2778,-0.8,-0.8,2.4,0.61188,152.0,0.6397,9.07,90.7,1.8167852578606658,,,,Sand,,,Sand 1,1,0.34,3.2,1.25,-1.61
0.93,0.66,9.18,0.056,1.3889,-0.8,-0.4,2.3,0.62076,153.0,0.65969,9.18,91.8,1.8159123478780321,,,,Sand,,,Sand 1,1,0.34,3.2,1.25,-1.61
0.91,0.68,9.19,0.057,1.5,-1.2,-1.0,2.0,0.63193,154.0,0.67969,9.19,91.9,1.8198525493712652,,,,Sand,,,Sand 1,1,0.34,3.2,1.25,-1.61
0.8900000000000001,0.7,9.13,0.057,1.3,-1.0,-0.8,1.8,0.63563,155.0,0.69968,9.13,91.3,1.823629811693492,,,,Sand,,,Sand 1,1,0.34,3.2,1.25,-1.61
0.8700000000000001,0.72,9.01,0.056,1.2333,-0.4,-0.6,1.6,0.63205,156.0,0.71968,9.01,90.1,1.8270173651291697,,,,Sand,,,Sand 1,1,0.34,3.2,1.25,-1.61
0.8500000000000001,0.74,8.91,0.054,1.1667,-1.0,-0.4,1.9,0.61785,157.0,0.73967,8.91,89.1,1.8255564459933125,,,,Sand,,,Sand 1,1,0.34,3.2,1.25,-1.61
0.8300000000000001,0.76,8.76,0.053,1.1,-0.8,-0.8,2.1,0.61619,158.0,0.75967,8.76,87.6,1.8310563541228582,,,,Sand,,,Sand 1,1,0.34,3.2,1.25,-1.61
0.81,0.78,8.49,0.051,1.1,-0.8,-0.8,2.2,0.60248,159.0,0.77966,8.49,84.9,1.8370766940077905,,,,Sand,,,Sand 1,1,0.34,3.2,1.25,-1.61
0.79,0.8,8.21,0.05,1.1,-0.4,-0.4,2.4,0.59862,160.0,0.79966,8.21,82.1,1.8478037703007593,,,,Sand,,,Sand 1,1,0.34,3.2,1.25,-1.61
0.7700000000000001,0.82,8.22,0.052,1.1,-0.8,-1.0,2.7,0.63059,161.0,0.81966,8.22,82.2,1.859652593827787,,,,Sand,,,Sand 1,1,0.34,3.2,1.25,-1.61
0.7500000000000001,0.84,8.08,0.049,1.1,-0.8,-0.8,2.5,0.60031,162.0,0.83965,8.08,80.8,1.8543023081533292,,,,Sand,,,Sand 1,1,0.34,3.2,1.25,-1.61
0.7300000000000001,0.86,8.04,0.047,1.1,-0.8,-0.8,2.3,0.57828,162.0,0.85965,8.04,80.39999999999999,1.8474357966010664,,,,Sand,,,Sand 1,1,0.34,3.2,1.25,-1.61
0.7100000000000001,0.88,8.11,0.047,1.3,-0.8,-1.0,2.4,0.57669,163.0,0.87964,8.11,81.1,1.8436116527737911,,,,Sand,,,Sand 1,1,0.34,3.2,1.25,-1.61
