elevation_m_nap,depth_m,qc_mpa,fs_mpa,col_4,col_5,col_6,col_7,rf_percent,col_9,corrected_depth,qt_mpa,qt_over_pa,Isbt,Bqt,peat_boundary_qt_over_pa,organic_clay_boundary_qt_over_pa,soil_type,used_organic_boundary_qt_over_pa,distance_to_used_organic_boundary,layer_id,soil_layer_number,layer_top_depth_m,layer_bottom_depth_m,layer_top_elevation_m_nap,layer_bottom_elevation_m_nap
1.45,0.02,0.25637,0.00057369,0.17408,0.083333,-0.15283,2.05,0.069562,102.0,0.02,0.25637,2.5637,3.061768161108254,,,,Clay & silt,,,Clay & silt 1,1,0.02,0.2,1.45,1.27
1.43,0.04,0.53062,0.00093756,0.49957,0.28333,-0.41146,1.9,0.097393,112.0,0.039999,0.53062,5.3062000000000005,2.753124918854065,,,,Silty clay / clayey silt,,,Clay & silt 1,1,0.02,0.2,1.45,1.27
1.41,0.06,0.83026,0.0011131,0.58473,0.33333,-0.48042,2.3,0.10227,113.0,0.059998,0.83026,8.3026,2.561111651525327,,,,Sand mixtures,,,Clay & silt 1,1,0.02,0.2,1.45,1.27
1.39,0.08,1.0905,0.0015772,0.58986,0.31667,-0.49766,2.45,0.13087,113.0,0.079997,1.0905,10.905,2.455586719350631,,,,Sand mixtures,,,Clay & silt 1,1,0.02,0.2,1.45,1.27
1.3699999999999999,0.1,1.4158,0.0022388,0.62595,0.3,-0.54939,2.45,0.15353,114.0,0.099996,1.4158,14.158,2.3543035290747336,,,,Sand mixtures,,,Clay & silt 1,1,0.02,0.2,1.45,1.27
1.35,0.12,1.6523,0.0023171,0.64114,0.3,-0.56663,2.45,0.13577,115.0,0.11999,1.6523,16.523000000000003,2.2793802059804023,,,,Sand mixtures,,,Clay & silt 1,1,0.02,0.2,1.45,1.27
1.33,0.14,1.8432,0.0027121,0.64259,0.33333,-0.54939,2.4,0.13935,116.0,0.13999,1.8432,18.432000000000002,2.234295114627528,,,,Sand mixtures,,,Clay & silt 1,1,0.02,0.2,1.45,1.27
1.31,0.16,2.0226,0.0026623,0.63692,0.35,-0.53215,2.35,0.12119,117.0,0.15999,2.0226,20.226000000000003,2.185263738182226,,,,Sand mixtures,,,Clay & silt 1,1,0.02,0.2,1.45,1.27
1.29,0.18,2.2803,0.0031167,0.67941,0.31667,-0.60111,2.4,0.1272,118.0,0.17999,2.2803,22.803,2.1367895851766163,,,,Sand mixtures,,,Clay & silt 1,1,0.02,0.2,1.45,1.27
1.27,0.2,2.5183,0.002846,0.68727,0.3,-0.61835,2.4,0.10489,119.0,0.19999,2.5183,25.183000000000003,2.0828512235091967,,,,Sand mixtures,,,Sand 1,1,0.2,3.74,1.27,-2.2700000000000005
1.25,0.22,2.747,0.0032622,0.666,0.35,-0.56663,2.4,0.10794,119.0,0.21999,2.747,27.47,2.0468601515571545,,,,Sand,,,Sand 1,1,0.2,3.74,1.27,-2.2700000000000005
1.23,0.24,3.094,0.0038201,0.74072,0.35,-0.65283,2.4,0.11304,120.0,0.23999,3.094,30.94,1.998248145952592,,,,Sand,,,Sand 1,1,0.2,3.74,1.27,-2.2700000000000005
1.21,0.26,3.4439,0.0038213,0.74072,0.35,-0.65283,2.4,0.10161,121.0,0.25998,3.4439,34.439,1.946225525772413,,,,Sand,,,Sand 1,1,0.2,3.74,1.27,-2.2700000000000005
1.19,0.28,3.7564,0.0047092,0.76561,0.4,-0.65283,2.4,0.11342,122.0,0.27998,3.7564,37.564,1.9150311248641159,,,,Sand,,,Sand 1,1,0.2,3.74,1.27,-2.2700000000000005
1.17,0.3,4.3153,0.0059397,0.84033,0.4,-0.73904,2.4,0.12997,123.0,0.29998,4.3153,43.15299999999999,1.8651101529981224,,,,Sand,,,Sand 1,1,0.2,3.74,1.27,-2.2700000000000005
1.15,0.32,4.8797,0.0063885,0.88001,0.45,-0.75628,2.4,0.12779,124.0,0.31998,4.8797,48.797,1.8112766964967888,,,,Sand,,,Sand 1,1,0.2,3.74,1.27,-2.2700000000000005
1.13,0.34,5.3329,0.0079126,0.89487,0.45,-0.77352,2.4,0.14598,124.0,0.33998,5.3329,53.32900000000001,1.7848971497665687,,,,Sand,,,Sand 1,1,0.2,3.74,1.27,-2.2700000000000005
