soil_id,top_elevation_m_nap,bottom_elevation_m_nap,soil depth_m,qc_mpa_mean,gamma_unsat_kn_m3,gamma_sat_kn_m3,E100_mpa,c_prime_kpa,phi_prime_deg,dilatancy_deg,interpolation_status
Organic clay 1,-1.56,-1.74,0.17999999999999994,0.46,15.1,15.1,1.35,0.5,15.0,0.0,interpolated
Sand mixtures 1,-1.74,-2.04,0.30000000000000004,3.49,18.5,20.5,22.5,0.0,27.5,0.0,below_range_clipped
Sand 1,-2.04,-4.46,2.42,11.98,17.7,19.7,35.93,0.0,31.7,1.7,interpolated
Peat 1,-4.46,-5.4,0.9400000000000004,0.59,12.5,12.5,0.75,3.75,15.0,0.0,above_range_clipped
Organic clay 2,-5.4,-6.16,0.7599999999999998,0.4,14.7,14.7,1.16,0.5,15.0,0.0,interpolated
Peat 2,-6.16,-7.26,1.0999999999999996,0.54,12.5,12.5,0.75,3.75,15.0,0.0,above_range_clipped
Organic clay 3,-7.26,-8.1,0.8399999999999999,0.45,15.1,15.1,1.34,0.5,15.0,0.0,interpolated
Clay & silt 1,-8.1,-8.88,0.7800000000000011,0.47,15.0,15.0,1.5,0.0,22.5,0.0,below_range_clipped
Peat 3,-8.88,-9.66,0.7799999999999994,0.63,12.5,12.5,0.75,3.75,15.0,0.0,above_range_clipped
Clay & silt 2,-9.66,-10.64,0.9800000000000004,0.57,15.0,15.0,1.5,0.0,22.5,0.0,below_range_clipped
Silty clay / clayey silt 1,-10.64,-11.5,0.8599999999999994,1.35,19.3,19.3,2.35,0.35,29.2,0.0,interpolated
Sand mixtures 2,-11.5,-11.98,0.4800000000000004,3.45,18.5,20.5,22.5,0.0,27.5,0.0,below_range_clipped
Sand mixtures 3,-11.98,-14.06,2.08,3.12,18.5,20.5,22.5,0.0,27.5,0.0,below_range_clipped
Sand mixtures 4,-14.06,-14.8,0.7400000000000002,3.5,18.5,20.5,22.5,0.0,27.5,0.0,below_range_clipped
Silty clay / clayey silt 2,-14.8,-15.74,0.9399999999999995,1.27,19.3,19.3,2.27,0.27,29.1,0.0,interpolated
Clay & silt 3,-15.74,-17.86,2.119999999999999,1.07,16.4,16.4,2.2,2.34,22.5,0.0,interpolated
Clay & silt 4,-17.86,-18.78,0.9200000000000017,1.88,19.0,19.0,4.73,8.46,23.5,0.0,interpolated
Sand 2,-18.78,-25.62,6.84,18.73,18.6,20.6,62.71,0.0,34.4,4.4,interpolated
Sand 3,-25.62,-27.64,2.0199999999999996,13.92,17.9,19.9,41.77,0.0,32.2,2.2,interpolated
Sand mixtures 5,-27.64,-28.16,0.5199999999999996,4.73,18.5,20.5,22.5,0.0,27.5,0.0,below_range_clipped
Sand 4,-28.16,-36.66,8.499999999999996,19.81,18.7,20.7,67.86,0.0,34.9,4.9,interpolated
Sand mixtures 6,-36.66,-37.4,0.740000000000002,10.15,18.5,20.5,22.5,0.0,27.5,0.0,above_range_clipped
Sand 5,-37.4,-38.96,1.5599999999999952,28.45,19.5,21.5,92.5,0.0,37.5,7.5,above_range_clipped
Sand 6,-38.96,-40.06,1.1000000000000014,13.79,17.9,19.9,41.36,0.0,32.2,2.2,interpolated
Sand mixtures 7,-40.06,-41.54,1.480000000000004,4.25,18.5,20.5,22.5,0.0,27.5,0.0,below_range_clipped
