top_elevation_m_nap,bottom_elevation_m_nap,top_depth_m,bottom_depth_m,soil_type,thickness_m,soil_layer_number,layer_id
-1.4000000000000001,-1.82,0.08,0.5,Clay & silt,0.42,1,Clay & silt 1
-1.82,-3.8,0.5,2.48,Sand,1.98,1,Sand 1
-3.8,-4.26,2.48,2.94,Silty clay / clayey silt,0.45999999999999996,1,Silty clay / clayey silt 1
-4.26,-5.3,2.94,3.98,Organic clay,1.04,1,Organic clay 1
-5.3,-5.84,3.98,4.52,Clay & silt,0.5399999999999996,2,Clay & silt 2
-5.84,-6.96,4.52,5.64,Peat,1.12,1,Peat 1
-6.96,-7.46,5.64,6.14,Clay & silt,0.5,3,Clay & silt 3
-7.46,-8.2,6.14,6.88,Clay & silt,0.7400000000000002,4,Clay & silt 4
-8.2,-8.72,6.88,7.4,Clay & silt,0.5200000000000005,5,Clay & silt 5
-8.72,-9.48,7.4,8.16,Peat,0.7599999999999998,2,Peat 2
-9.48,-10.3,8.16,8.98,Clay & silt,0.8200000000000003,6,Clay & silt 6
-10.3,-11.3,8.98,9.98,Silty clay / clayey silt,1.0,2,Silty clay / clayey silt 2
-11.3,-12.06,9.98,10.74,Sand,0.7599999999999998,2,Sand 2
-12.06,-12.68,10.74,11.36,Sand mixtures,0.6199999999999992,1,Sand mixtures 1
-12.68,-13.74,11.36,12.42,Silty clay / clayey silt,1.0600000000000005,3,Silty clay / clayey silt 3
-13.74,-14.040000000000001,12.42,12.72,Sand,0.3000000000000007,3,Sand 3
-14.040000000000001,-14.9,12.72,13.58,Sand mixtures,0.8599999999999994,2,Sand mixtures 2
-14.9,-16.919999999999998,13.58,15.6,Silty clay / clayey silt,2.0199999999999996,4,Silty clay / clayey silt 4
-16.919999999999998,-17.44,15.6,16.12,Silty clay / clayey silt,0.5200000000000014,5,Silty clay / clayey silt 5
-17.44,-18.46,16.12,17.14,Silty clay / clayey silt,1.0199999999999996,6,Silty clay / clayey silt 6
-18.46,-21.740000000000002,17.14,20.42,Sand,3.280000000000001,4,Sand 4
-21.740000000000002,-22.46,20.42,21.14,Sand,0.7199999999999989,5,Sand 5
-22.46,-30.06,21.14,28.74,Sand,7.599999999999998,6,Sand 6
-30.06,-34.02,28.74,32.7,Sand,3.9600000000000044,7,Sand 7
-34.02,-34.38,32.7,33.06,Sand,0.35999999999999943,8,Sand 8
-34.38,-36.84,33.06,35.52,Sand,2.460000000000001,9,Sand 9
-36.84,-38.42,35.52,37.1,Sand,1.5799999999999983,10,Sand 10
-38.42,-39.42,37.1,38.1,Sand,1.0,11,Sand 11
-39.42,-41.4,38.1,40.08,Sand mixtures,1.9799999999999969,3,Sand mixtures 3
